questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"The class notes give the reason for moving past `synchronized`:

    t1 and t2 both enter synchronized section or try
    t1 inside and for some reason it is stuck.
    we are in an unrecoverable state

What is the actual problem being described?",synchronized is slower than an explicit lock,"A thread waiting on synchronized has no way out - it cannot set a time limit, cannot check whether it got in, and cannot change its mind. If the thread holding the lock never leaves, everyone else waits forever",synchronized cannot be used with more than two threads,synchronized does not actually protect shared data,,2,"Nothing is wrong with what synchronized protects. The gap is control: you get no say over how long you are prepared to wait, and no way to find out that you failed.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

Compared with a `synchronized` block, what does this explicit lock let the code do that synchronized cannot?",Protect more than one variable at a time,"Put a time limit on waiting, find out whether it actually got the lock, and do something else if it did not - the `else` branch here is a path that synchronized has no way to express",Lock on the class instead of the object,Run without any risk of a race condition,,2,"The whole value is in the return value of tryLock. `synchronized` either gets in or waits forever, with no third option and no way to report which happened.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

What responsibility does the code now carry that `synchronized` used to handle on its own?",Deciding which object to lock,"Releasing the lock. With synchronized the lock is dropped automatically on the way out; here every path out of the locked region must call unlock(), which is why it is in a finally",Creating the thread,Checking whether the data is shared,,2,"You traded convenience for control. Forgetting to unlock leaves the lock held forever, which is a failure mode synchronized simply cannot produce.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

What does `lock.tryLock(3000, TimeUnit.MILLISECONDS)` actually do?",Holds the lock for 3000 ms and then releases it automatically,"Waits up to 3000 ms to get the lock, then returns true if it got in or false if the time ran out",Pauses the thread for 3000 ms before trying,Retries every 3000 ms until it eventually succeeds,,2,"The timeout is on WAITING for the lock, not on holding it. Once acquired the thread keeps the lock until it calls unlock, however long that takes.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

A thread reaches the `else` branch, prints its message, and increment() returns. What happened to that increment?",It is queued and applied as soon as the lock is free,"It never happens. The thread gave up and moved on, so this call simply did not do its work - count was not increased",It is retried automatically by the loop in CounterRunnable,It throws an InterruptedException to the caller,,2,"This is the trade-off being demonstrated. Never blocking forever also means the work can silently be skipped, so the caller has to be fine with that.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

The lock is held for 3000 ms (the sleep) and the timeout to acquire it is also 3000 ms. Why does that combination guarantee the else branch is reached?",Because the timeout and the sleep cancel each other out,"Because a waiting thread gives up after 3000 ms, which is exactly as long as the holder keeps the lock - so the waiter runs out of time at roughly the moment the lock is freed and usually loses the race for it",Because tryLock always fails on the second call,Because sleep() releases the lock partway through,,2,"The numbers were chosen deliberately so the failure path is reliably visible. Make the timeout 10000 instead and the waiter would almost always succeed, and the else branch would never be seen.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

public class CounterRunnable implements Runnable {

    private final Counter counter;

    public CounterRunnable(Counter counter) {
        this.counter = counter;
    }

    @Override
    public void run() {
        for (int i = 0; i < 5; i++) {
            try {
                counter.increment();
            } catch (InterruptedException e) {
                throw new RuntimeException(e);
            }
        }
        System.out.println(Thread.currentThread().getName());
    }
}

Actual output when this is run:

    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t1
    Final count: 5
    t2

t2 printed its give-up message 4 times out of 5 loop iterations. What does that tell you about what t2 achieved?",t2 failed completely and incremented nothing,"t2 only got the lock once out of five attempts - four of its five increments were skipped, so it contributed 1 to the count instead of 5",t2 incremented 4 times and failed once,t2 was never started properly,,2,"Reading the output as a count of failures is the point: 4 messages means 4 abandoned increments, so the two threads together did 6 increments rather than the 10 the loops asked for.",2
"Real code:

public class Main {
    public static void main(String[] args) throws InterruptedException {
        Counter counter = new Counter();

        Thread t1 = new Thread(new CounterRunnable(counter), ""t1"");
        Thread t2 = new Thread(new CounterRunnable(counter), ""t2"");

        t1.start();
        t2.start();

        t1.join();
        //t2.join();

        System.out.println(""Final count: "" + counter.getCount());
    }
}

Actual output when this is run:

    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t2 dont care about the lock .....will return later
    t1
    Final count: 5
    t2

The program prints 'Final count: 5', and the line `//t2.join();` is commented out. Running the same code with that join restored prints 6. Why the difference?",Restoring the join causes an extra increment to run,"Without it, main does not wait for t2, so the count is printed while t2 is still working - 5 is simply the value at that instant, not the final value",The join changes the lock timeout,6 is wrong - the correct answer is 5,,2,"Verified both ways: 5 without the join, 6 with it. The printed label says 'Final count' but nothing has made it final, which is exactly what join() is for.",2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

public class CounterRunnable implements Runnable {

    private final Counter counter;

    public CounterRunnable(Counter counter) {
        this.counter = counter;
    }

    @Override
    public void run() {
        for (int i = 0; i < 5; i++) {
            try {
                counter.increment();
            } catch (InterruptedException e) {
                throw new RuntimeException(e);
            }
        }
        System.out.println(Thread.currentThread().getName());
    }
}

Two threads each loop 5 times, so 10 increments were requested. Is a final count below 10 a bug here?",Yes - every increment must eventually happen or the lock is broken,"No. Skipping work when the lock is busy is exactly what tryLock with a timeout was chosen for. It would be a bug in a counter that must be exact, and is fine for work that can be dropped",Yes - the timeout should be removed,"No, because count++ is atomic anyway",,2,Whether this design is right depends entirely on the job. Dropping a metrics sample is fine; dropping a customer's payment is not.,2
"Real code:

public class Counter {

    Lock lock = new ReentrantLock();

    private int count = 0;

    public void increment() throws InterruptedException {

        if (lock.tryLock(3000, TimeUnit.MILLISECONDS)) {
            try {
                Thread.sleep(3000);
                count++;
            } catch (Exception e) {

            } finally {
                lock.unlock();
            }
        }
        else {
            System.out.println(Thread.currentThread().getName()
                    + "" dont care about the lock .....will return later"");
        }
    }

    public int getCount() {
        return count;
    }
}

Why is `lock.unlock()` inside a `finally` block rather than written as the last line of the `try`?",Purely style - both run at the same time,"Because finally runs even if the code inside throws or returns early. As the last line of try, an exception would skip it and the lock would stay held forever",Because unlock() can only be called from a finally block,Because finally runs before the try body,,2,"A lock held forever is worse than the bug that caused it: every other thread then blocks or times out, and the program looks hung rather than broken.",2
