questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is the Liskov Substitution Principle (LSP)?,A class should have only one reason to change,Objects of a superclass/interface should be replaceable with objects of a subclass without breaking the correctness of the program,Software entities should be open for extension but closed for modification,High-level modules should not depend on low-level modules,,2,"LSP states that any subtype must be substitutable for its base type wherever the base type is expected, without altering the correctness of the program.",1
Which SOLID letter does LSP represent?,L,I,S,D,,1,LSP is the 'L' in SOLID.,1
Who is LSP named after?,Barbara Liskov,Robert C. Martin,Martin Fowler,Bertrand Meyer,,1,The principle is named after computer scientist Barbara Liskov who introduced the substitutability idea in 1987.,1
"From the course notes, a single `Shape` interface declares both `getArea()` and `getVolume()`. Which classes implement it?",Only Circle and Square,"Line, Circle, Rectangle, Square, Sphere, Cuboid — every shape, 1D through 3D",Only Line,Only Sphere and Cuboid,,2,"The notes show one fat Shape interface being implemented by every shape type regardless of dimension, which is the root of the LSP violation.",1
"Given `interface Shape { double getArea(); double getVolume(); }`, why does `Line implements Shape` violate LSP?",Line has too many fields,Line doesn't use inheritance,Line's constructor takes a double parameter,"Line is a 1D shape with no meaningful volume or area in the 2D/3D sense, so it can't honestly fulfill both methods of the contract — callers expecting a working Shape get broken or nonsensical behavior from a Line",,4,LSP requires every subtype to honestly fulfill the base contract; forcing Line to implement getVolume() (or getArea()) it cannot meaningfully support breaks substitutability.,1
"In the notes' diagram, `Line -> Shape` is marked with both a checkmark and an X. What does this represent?",Line perfectly satisfies the entire Shape contract,"Line can fulfill part of the contract (e.g. length-like behavior) but fails another part (e.g. volume), so it is only a partial, unsafe substitute for Shape",Line violates the Open/Closed Principle instead,Line cannot be compiled at all,,2,"The mixed checkmark/X notation captures that Line satisfies some expectations of Shape but not others, exactly the kind of partial substitutability that breaks LSP.",1
Which of these is a typical way an LSP violation shows up in code for a forced method like getVolume() on a 2D shape?,Making the method private so it's hidden,Overloading the method with extra parameters,"Throwing an UnsupportedOperationException, returning a meaningless value like 0 or -1, or leaving the method empty",Returning the exact mathematically correct volume,,3,"When a subtype can't truthfully implement an inherited method, common symptoms are throwing an exception, returning a dummy/incorrect value, or a no-op body — all silently breaking the contract callers rely on.",1
"If code calls `shape.getVolume()` polymorphically on every `Shape` in a list that includes a `Circle`, what typically goes wrong under the single fat-interface design?","Nothing, Circle naturally has a well-defined volume",The code fails to compile,Circle automatically becomes a Sphere,"The Circle either throws an exception or returns a meaningless value, silently or loudly breaking correctness for callers that trusted the Shape contract",,4,"A 2D shape has no real volume, so calling getVolume() on it exposes the LSP violation: the substitute (Circle) cannot honor the full base contract (Shape) safely.",1
What is the classic textbook example used to illustrate LSP violations involving rectangles?,"A Square class extending Rectangle, where setting width and height independently breaks Square's invariant that all sides are equal",A Sphere class extending Cuboid,A Circle class extending Line,An Employee class extending Person,,1,"The Square-extends-Rectangle example is the canonical LSP case: Square must keep width == height, so overriding setWidth()/setHeight() to preserve that invariant breaks callers who expect independent Rectangle behavior.",1
Why does Square extends Rectangle typically violate LSP even though a square 'is a' rectangle mathematically?,Because Square has more fields than Rectangle,Because Rectangle is declared final,"Code that sets a Rectangle's width and height independently and expects the area to update accordingly breaks when substituting a Square, since Square must keep both sides equal",Because Square cannot be instantiated,,3,"LSP cares about behavioral substitutability, not just conceptual 'is-a' relationships; Square's invariant (equal sides) conflicts with Rectangle's assumed independent width/height mutation.",1
What are the two fixed interfaces the notes introduce as a FIRST attempt to solve the fat Shape problem?,IAreaCalculable (getArea) and IVolumeCalculable (getVolume),Shape1D and Shape4D,AreaCalculator and VolumeCalculator,IShapeReader and IShapeWriter,,1,"The notes show a first iteration splitting the fat Shape interface into IAreaCalculable (getArea) and IVolumeCalculable (getVolume), so shapes only implement what applies to them.",1
"Under the first fix (IAreaCalculable / IVolumeCalculable), which interface(s) would Line implement?",Both IAreaCalculable and IVolumeCalculable,Only IVolumeCalculable,"Neither — Line doesn't cleanly fit area or volume calculation, showing this first attempt still isn't quite right for 1D shapes","Only IAreaCalculable, forced awkwardly",,3,"The notes flag this first split as still imperfect for 1D shapes like Line, motivating the second, cleaner iteration with dedicated dimensional interfaces.",1
"What is the SECOND, refined fix shown in the notes for the Shape hierarchy?",One single interface with five methods covering every possible measurement,"Three interfaces — Shape1D (getLength), Shape2D (getArea), Shape3D (getVolume) — with each shape implementing only the interface matching its dimensionality",A single abstract Shape class with all methods implemented as no-ops,Deleting the Shape interface entirely and using raw classes,,2,"The final design in the notes segregates by dimension: Shape1D exposes getLength(), Shape2D exposes getArea(), and Shape3D exposes getVolume(), so each shape only implements what truly applies to it.",1
"In the fixed code, `public class Line implements Shape1D { public double getLength() {...} }`. Why does this satisfy LSP where the old design didn't?",Because Line no longer has a constructor,Because Line is now declared final,"Line now only promises behavior it can honestly deliver (getLength), so any code using a Shape1D reference to a Line gets fully correct, expected behavior",Because Line implements two interfaces instead of one,,3,LSP is satisfied because Line's contract (Shape1D) exactly matches what Line can truthfully provide — full substitutability without broken or faked methods.,1
"In the fixed code, `public class Sphere implements Shape3D { public double getVolume() {...} }`, the comment says 'No longer forced to implement getArea in a 2D context.' What LSP problem does this solve?",Sphere can no longer be added to a List,Sphere is no longer required to fake or misuse a getArea() method it doesn't naturally support as a 3D solid,Sphere must now implement getLength() instead,Sphere no longer has a radius field,,2,"By implementing only Shape3D, Sphere is freed from having to provide a nonsensical or dummy getArea() implementation, restoring honest substitutability.",1
"With the fixed design, `AreaCalculator` operates on `List<Shape2D>`. Why can it safely call `shape.getArea()` on every element with zero instanceof checks?",Because Java automatically converts any object to Shape2D,Because getArea() always returns zero if not implemented,Because List<Shape2D> can only ever contain one element,"Because every object in a List<Shape2D> is guaranteed by the type system to be a genuine Shape2D that can honestly fulfill getArea(), which is the essence of LSP-safe substitution",,4,"This is LSP working as intended: the calculator trusts the Shape2D contract completely, and every substitutable implementation (Circle, Square, Rectangle) honors that trust without special-casing.",1
A comment in AreaCalculator.java reads 'LSP Fixed - No instanceof checks anywhere... We trust every Shape2D to honour the getArea contract.' What does needing instanceof checks usually signal?,"A likely LSP violation, where the code has to special-case certain subtypes because they don't behave consistently with the expected base type",That the code is well-designed and follows LSP perfectly,That Dependency Injection is being used correctly,That the class is using the Strategy pattern correctly,,1,Needing instanceof/type-checking to handle subtypes differently is a classic smell that some substitutes don't honor the base contract uniformly — exactly what LSP aims to prevent.,1
Which of the following best states the formal behavioral idea behind LSP (beyond just 'compiles fine')?,Subtypes must never override any inherited method,Subtypes must have the exact same number of methods as their base type,"Subtypes must honor the same preconditions, postconditions, and invariants expected of the base type, so callers relying on the base type's contract are never surprised","Subtypes must always be declared as interfaces, never classes",,3,LSP is fundamentally about behavioral (contract) compatibility — preconditions can't be strengthened and postconditions/invariants can't be weakened in subtypes — not merely structural compatibility.,1
"In Design by Contract terms, what is the rule about preconditions in an LSP-compliant subtype override?",A subtype method cannot demand stronger preconditions than the base method it overrides,A subtype method must always add more preconditions than the base method,A subtype method must remove all preconditions entirely,Preconditions are irrelevant to LSP,,1,"Strengthening preconditions in a subtype would reject inputs the base type accepted, breaking callers who relied on the base type's looser requirements — a classic LSP violation.",1
"In Design by Contract terms, what is the rule about postconditions in an LSP-compliant subtype override?",A subtype method cannot weaken postconditions the base method guaranteed — it must deliver at least what was promised,A subtype method must always weaken postconditions,A subtype must guarantee fewer results than the base type,Postconditions are irrelevant to LSP,,1,"Weakening postconditions would mean the subtype delivers less than what callers were promised by the base type's contract, breaking substitutability.",1
