questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is polymorphism in OOP?,The ability for the same method call to behave differently depending on the object or arguments involved,The ability to hide data using private fields,The ability of a class to extend only one parent,The ability to declare a class as final,,1,Polymorphism means one interface/method name can take many forms depending on the actual object or argument types.,1
What are the two main types of polymorphism in Java?,Static and dynamic typing,Abstract and concrete polymorphism,Compile-time (overloading) and runtime (overriding),Public and private polymorphism,,3,Java supports compile-time polymorphism via method overloading and runtime polymorphism via method overriding.,1
Method overloading is an example of which type of polymorphism?,"Neither, it's unrelated to polymorphism",Compile-time polymorphism,Abstraction,Runtime polymorphism,,2,"Overload resolution happens at compile time based on the method signature, making it compile-time (static) polymorphism.",1
Method overriding is an example of which type of polymorphism?,Interface segregation,Encapsulation,Compile-time polymorphism,Runtime polymorphism,,4,"Which overridden method executes is decided at runtime based on the actual object type, making it runtime (dynamic) polymorphism.",1
"In the Student class with print() and print(String test), which is this an example of?",Method overriding,Method overloading,Method hiding,Constructor chaining,,2,Two methods with the same name but different parameter lists in the same class is method overloading.,1
"Given `Dog d1 = new Labrador(); d1.doBark();` where Labrador overrides doBark(), whose version runs?","Dog's version, since the reference type is Dog",Both versions run,A compile-time error occurs,Labrador's overridden version,,4,"Runtime polymorphism means the JVM calls the method based on the actual object's type (Labrador), not the reference type (Dog).",1
What is this behavior of calling the overridden method based on actual object type called?,Field hiding,Static method dispatch,Constructor chaining,Dynamic method dispatch,,4,Dynamic method dispatch is the mechanism by which the JVM resolves overridden methods at runtime based on the object's actual class.,1
"In DogSoundManager.makeSound(IDog dog), why does the parameter type IDog matter?",It restricts makeSound to only accept the IDog class itself,It prevents any subclass from being passed in,It forces makeSound to be static,"It lets makeSound accept any class implementing IDog (Labrador, Pomeranian, etc.), enabling polymorphic behavior",,4,"Accepting the interface type IDog lets the method work polymorphically with any current or future implementing class, without needing an overload per dog type.",1
Why doesn't DogSoundManager need a separate makeSound() overload for Labrador and Pomeranian?,"Because both implement IDog, so a single method accepting IDog covers all current and future dog types polymorphically",Because Java automatically generates overloads for subclasses,Because makeSound is a static method,Because Labrador and Pomeranian are identical classes,,1,This is the core benefit of polymorphism: one method written against the interface works for any implementing class without code duplication.,1
What determines which overloaded method is selected at compile time?,The name of the local variable,The return type of the method only,The number and types of arguments passed at the call site,The order methods are declared in the file,,3,Overload resolution is based on matching the argument list (count and types) to the most specific matching method signature.,1
"Can two overloaded methods differ only by their return type (same name, same parameters)?","Yes, but only if one is abstract","Yes, but only for static methods","Yes, that's a valid overload","No, this causes a compile-time error since return type alone isn't part of the method signature",,4,"Java's method signature consists of the method name and parameter types; return type alone cannot distinguish overloads, causing ambiguity/compile error.",1
What binding is used for overloaded methods?,Reflection-based binding,No binding is required,"Dynamic (late) binding, resolved at runtime","Static (early) binding, resolved at compile time",,4,"Overloaded methods are resolved at compile time using static binding, since the compiler picks the exact method based on argument types.",1
What binding is used for overridden methods?,"Static (early) binding, resolved at compile time","Dynamic (late) binding, resolved at runtime via the actual object type",Binding never happens for overridden methods,Binding depends on the access modifier only,,2,Overridden methods use dynamic/late binding: the JVM decides which implementation to call at runtime based on the real object.,1
Can constructors be overloaded in Java?,"Yes, but only in abstract classes","No, only methods can be overloaded","Yes, a class can have multiple constructors with different parameter lists","No, constructors can only be overridden",,3,"Constructor overloading is common and valid, e.g., Student(String name) and Student(String name, int age).",1
"Why might you declare a variable as an interface type (e.g., IDog d) instead of the concrete class (Labrador)?","To enable polymorphic substitution, letting the same variable later hold any IDog implementation without changing the code",Because interfaces run faster at runtime,Because concrete classes cannot be used as variable types,Because it avoids the need for a constructor,,1,"Coding to the interface/abstraction lets you swap in different implementations (Labrador, Pomeranian) without touching the code that uses the variable.",1
Does Java support user-defined operator overloading (like C++'s operator+)?,"Yes, but only inside interfaces","No, Java does not allow programmers to overload operators themselves","Yes, fully supported for all operators","Yes, but only for the + operator on custom classes",,2,"Unlike C++, Java doesn't let developers overload operators; the only built-in exception is + being overloaded internally for String concatenation.",1
What happens to overload resolution when you pass `null` and there are multiple applicable reference-type overloads?,It silently picks the String overload,It always throws a NullPointerException at runtime,Java always picks the first declared overload,It can cause ambiguity and a compile-time error since the compiler can't determine which overload is most specific,,4,Passing null with multiple equally applicable reference-type overloads is ambiguous to the compiler and fails to compile unless one overload is unambiguously more specific.,1
Can an overriding method change its return type from the superclass method?,"Only to a covariant (subtype) return type, not to an unrelated type","No, overriding never allows any change","Yes, but only to void","Yes, to any return type freely",,1,"Since Java 5, overriding methods may return a subtype of the original return type (covariant return type), but not an unrelated type.",1
"Can two overloaded methods in the same class return different, unrelated types?",Only if marked with @Override,"No, all overloads must share the same return type","Yes, overloaded methods can freely differ in return type as long as parameters differ","No, only interfaces allow this",,3,Overloading only requires different parameter lists; return types can vary freely between overloads.,1
What key benefit does polymorphism provide for extending a codebase?,It prevents any further subclassing,It removes the need to write any new classes ever,New classes implementing an existing interface can be added without modifying the code that already uses that interface,It automatically makes all methods static,,3,"Because callers depend only on the interface/contract, new implementations (like a new dog breed or discount type) can be added without touching existing calling code — aligned with the Open/Closed Principle.",1
Is it possible to achieve polymorphism without any inheritance or interface relationship?,"No, polymorphism in Java requires an IS-A relationship via inheritance or interface implementation","Yes, using only static methods","Yes, using only private fields","Yes, any two unrelated classes are automatically polymorphic",,1,Subtype (runtime) polymorphism specifically depends on a class hierarchy or interface implementation establishing an IS-A relationship.,1
Why is heavy use of instanceof checks with type-casting often considered an anti-pattern with polymorphism?,It defeats the purpose of polymorphism by hardcoding type-specific behavior instead of letting overridden methods handle it,It is required for all polymorphic code,instanceof is illegal in Java,It always causes a runtime crash,,1,"Relying on instanceof and manual casting to branch behavior duplicates what overriding is meant to handle automatically, making code harder to extend.",1
Do static methods participate in runtime polymorphism (overriding)?,"Yes, exactly like instance methods",Only in abstract classes,Only if marked @Override,"No, static methods are resolved at compile time based on reference type (method hiding, not overriding)",,4,"Static methods can't be overridden; a same-signature static method in a subclass merely hides the parent's version, resolved statically.",1
Are instance fields resolved polymorphically like overridden methods?,Only public fields are polymorphic,"Yes, fields are fully polymorphic",Only final fields are polymorphic,"No, field access is resolved at compile time based on the reference type, not the runtime object",,4,"Unlike methods, fields don't participate in dynamic dispatch; accessing a field always uses the declared (reference) type, not the actual object type.",1
What is 'parametric polymorphism' in Java typically implemented through?,Method overloading only,"Generics (e.g., List<T>)",Constructors only,Static blocks,,2,Generics let a single class or method work across many types safely — this is parametric polymorphism.,1
What does `<T extends Comparable<T>>` represent in a generic method?,A bounded type parameter restricting T to types that implement Comparable,An overloaded constructor,An abstract method declaration,A static import,,1,"Bounded type parameters restrict generics to a family of types, here requiring T to be Comparable to itself.",1
What does the wildcard `? extends Number` mean in generics?,An unknown type that must be exactly Number,A type that extends every class,An unknown type that is Number or a subtype of Number (upper-bounded wildcard),A syntax error,,3,"`? extends Number` is an upper-bounded wildcard, accepting Number or any of its subtypes, commonly used for read-only generic collections.",1
What is a 'covariant return type' example when overriding?,A method that returns two values simultaneously,A method that returns a completely unrelated class,"A method in Animal returns Animal, but the override in Dog returns Dog (a subtype)",A method that must always return void,,3,Covariant return types let an overriding method narrow the return type to a subtype of the original declared return type.,1
Which of these best illustrates polymorphism through interfaces in a discount system?,IDiscount ds = new MembershipDiscount(); and later swapping in CreditCardDiscount without changing calling code,Making getDiscount() a static method,Using instanceof to check the discount type before calling getDiscount(),Declaring ds as MembershipDiscount and never changing it,,1,"Programming against the IDiscount interface lets the same calling code work with any implementation swapped in, which is the essence of polymorphism.",1
What is the term for calling the correct overridden method based on the object's real type at runtime?,Late binding (dynamic binding),Early binding (static binding),Constructor chaining,Field hiding,,1,"Late/dynamic binding defers method resolution to runtime, based on the actual object, which is how overriding works.",1
What is the term for resolving overloaded methods at compile time?,Early binding (static binding),Late binding (dynamic binding),Reflection binding,Lazy binding,,1,"Early/static binding resolves the exact method to call during compilation, which is how overload resolution works.",1
Which principle from software design does polymorphism most directly support?,"Open/Closed Principle — open for extension, closed for modification",Single Responsibility Principle only,YAGNI,DRY (Don't Repeat Yourself) exclusively,,1,"Polymorphism allows adding new behavior (new subclasses) without modifying existing code that depends on the shared interface, directly supporting the Open/Closed Principle.",1
"If Labrador and Pomeranian both implement IDog, can a List<IDog> hold both types together?","Yes, since both are valid IDog implementations, they can be stored and iterated polymorphically in the same list",Only if they extend the same abstract class as well,"No, a list can only hold one concrete type at a time","No, interfaces cannot be used as generic type parameters",,1,"A collection typed to an interface can hold any mixture of objects implementing that interface, iterating and calling shared methods polymorphically.",1
What happens if a subclass method has the same name as a superclass method but a different parameter list?,It silently deletes the superclass method,It causes a compile-time error,"It's overloading in the subclass, not overriding, since the signatures differ",It's automatically treated as overriding,,3,Same name but different parameters means the subclass method overloads rather than overrides the superclass method.,1
"Why is 'program to an interface, not an implementation' closely tied to polymorphism?",It means you should never use interfaces,It only applies to static methods,Coding against interfaces lets the actual implementation vary and be swapped at runtime without changing dependent code,It means abstract classes are forbidden,,3,"This principle is essentially describing polymorphism: depending on the abstraction (interface) rather than a specific class enables flexible, swappable behavior.",1
"In `s1.print()` vs `s1.print(""Math"")` on a Student object, how is the correct method chosen?",Randomly by the JVM,By the order methods appear in the file,"At compile time, based on the number/type of arguments in the call","At runtime, based on the object's actual class",,3,"Since this is overloading (not overriding), the compiler picks the matching print() method based on the arguments supplied at the call site.",1
Can an abstract method be involved in runtime polymorphism?,"Yes, an abstract method's concrete override in a subclass is invoked polymorphically through the supertype reference","No, abstract methods can never be involved in polymorphism","Only in interfaces, never in abstract classes",Only if the abstract method is static,,1,"Abstract methods exist precisely to be overridden by subclasses, and calls through a supertype reference dispatch to the actual subclass's implementation at runtime.",1
What is 'ad-hoc polymorphism' another name for?,Generic programming,Method overriding,Interface inheritance,Method overloading,,4,"Ad-hoc polymorphism refers to a function/method behaving differently based on the specific types passed to it, which is exactly what overloading provides.",1
What is 'subtype polymorphism' another name for?,Static polymorphism,Runtime polymorphism via inheritance/interface implementation (overriding),Operator overloading,Method overloading,,2,"Subtype polymorphism refers to substituting a subtype object wherever a supertype is expected, achieved through overriding — i.e., runtime polymorphism.",1
Why can varargs methods sometimes create overload ambiguity?,Varargs are never allowed to be overloaded,Varargs disable polymorphism entirely,"Because a varargs method can match calls that could also match a fixed-arity overload, forcing the compiler to pick the more specific match",Varargs always cause runtime errors,,3,"When both a fixed-parameter overload and a varargs overload could apply, the compiler prefers the fixed-arity match, but ambiguous cases can still cause compile errors.",1
How does autoboxing affect overload resolution?,Autoboxing always causes a compile error in overloaded calls,Autoboxing disables method overloading entirely,"The compiler prefers an exact-match overload (e.g., int) over one requiring autoboxing (e.g., Integer) when both are applicable","Autoboxing is only relevant to overriding, not overloading",,3,Java's overload resolution prioritizes matches without boxing/unboxing or varargs before considering those that require autoboxing.,1
What is the main risk of overusing method overloading with many similar signatures?,It always breaks polymorphism,Reduced readability and potential ambiguity about which overload actually executes for a given call,It forces all methods to become abstract,It prevents the class from compiling,,2,Too many similar overloads can make it hard for readers (and sometimes the compiler) to reason about which method is actually invoked.,1
"Which scenario below is true runtime polymorphism, not just overloading?",Student.print() vs Student.print(String),A method with two overloaded versions with different parameter counts,IDog ref = new Pomeranian(); ref.doBark(); calling the Pomeranian-specific bark implementation,Declaring two constructors with different parameters,,3,Calling an overridden method through a supertype/interface reference and getting the subtype's specific behavior is the hallmark of runtime polymorphism.,1
What is a 'functional interface' in the context of polymorphism and lambdas?,"An interface with exactly one abstract method, allowing lambda expressions to be used as its polymorphic implementation",A class that implements multiple interfaces,Any interface with multiple methods,An interface that cannot be implemented,,1,"Functional interfaces (like IDog if it had one abstract method) can be implemented inline via lambda expressions, another flavor of polymorphism introduced in Java 8.",1
"If IDog had exactly one abstract method, could you write `IDog d = () -> System.out.println(""woof"");`?","No, lambdas require at least two abstract methods","Yes, since IDog would qualify as a functional interface, letting a lambda serve as its implementation","No, lambdas can only implement classes, not interfaces","Yes, but only for abstract classes",,2,"A single-abstract-method interface can be implemented with a lambda expression, which the JVM treats as a polymorphic instance of that interface.",1
Why is polymorphism considered essential for writing testable code?,It prevents subclasses from being created,"It makes all methods static, simplifying testing",It removes the need for any test cases,You can substitute a real implementation with a mock/fake object that shares the same interface during tests,,4,"Because test code can depend on the interface/abstraction, a mock implementation can be substituted at runtime without changing the code under test — a direct benefit of polymorphism.",1
"In `trip.addExpense(hotel, hotelParticipants, null)` from the Splitwise example, if hotel is typed as Expense but is actually an EqualExpense object, what enables the correct split logic to run?",The null argument determines which class executes,Java picks the split logic randomly,"Overloading, since addExpense has multiple versions",Runtime polymorphism — Expense's abstract split method dispatches to EqualExpense's implementation,,4,"Because EqualExpense overrides the abstract splitting behavior defined on Expense, calling it through the Expense reference still executes EqualExpense's specific logic at runtime.",1
Can you have both method overloading and method overriding involving the same method name in one class hierarchy?,"No, you must choose only one per hierarchy","No, this always causes a compile error","Yes, a subclass can overload additional versions of a method while also overriding the inherited one","Yes, but only with static methods",,3,A subclass can override the exact inherited signature and separately add new overloaded versions with different parameters — both can coexist.,1
What is the main difference between polymorphism and inheritance as concepts?,Polymorphism requires no inheritance whatsoever in any language,Inheritance is a runtime concept while polymorphism is compile-time only,Inheritance establishes the IS-A relationship/mechanism; polymorphism is the resulting behavior of one call working differently across related types,They are exactly the same concept with different names,,3,"Inheritance (or interface implementation) sets up the type relationship that makes polymorphism possible, but polymorphism specifically refers to the behavior of dispatching to the right implementation.",1
"Why is polymorphism described as letting you 'write code once, use it for many types'?",Because it eliminates the need to write any classes,Because it converts all types into Object automatically,Because it removes the need for interfaces,Because logic written against a shared supertype or interface automatically works correctly for any current or future subtype,,4,"Code written against an abstraction handles any conforming implementation without modification, which is the core productivity benefit of polymorphism.",1
