questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Given the real class-21 code:

public class YouTubeChannel implements ISubject {
    private List<ISubscriber> subscribers;
    private void notifySubscribers(String message) {
        for (ISubscriber subscriber : subscribers) {
            subscriber.notifyUser(message);
        }
    }
}

Why does this loop never need an if-else on subscriber type to decide how to notify each one?",It iterates List<ISubscriber> and calls notifyUser() polymorphically — each concrete subscriber's own override decides how it handles the notification,It calls a static NotificationService.dispatch() method that internally branches on subscriber type,It iterates List<User> and casts each element to check if it's Email or SMS before calling the right method,"It iterates a Map<String, ISubscriber> keyed by channel name",,1,Polymorphism through the ISubscriber interface means the loop stays identical no matter how many or which subscriber types exist — each override supplies its own behavior.,2
"EmailSubscriber.java (real course code):

public class EmailSubscriber extends User {
    private String email;
    @Override
    public void notifyUser(String message) {
        System.out.println(""Email sending started to "" + email);
        super.notifyUser(message);
        System.out.println(""Email sending completed"");
    }
}

User.notifyUser() prints ""notification "" + message. What is the exact console output when this subscriber is notified with message ""upload completed on X""?",A StackOverflowError because super.notifyUser() re-invokes EmailSubscriber.notifyUser(),"""Email sending started to ___"", then ""notification upload completed on X"", then ""Email sending completed""",Only the two Email lines — the super call is skipped since it's overridden,"""notification upload completed on X"" printed first, then the two Email lines",,2,"super.notifyUser(message) explicitly calls the parent User implementation, executing in between the two println statements — not before or instead of them.",2
"In Main.java, three subscribers (two EmailSubscriber, one SMSSubscriber) are added via channel.subscribe(...), then channel.uploadVideo(...) is called once. You now want a brand-new PushSubscriber to also get notified on the same event. What is the minimum change required inside YouTubeChannel.java itself?",Add a new field List<PushSubscriber> pushSubscribers and loop over it separately,Change subscribers from List<ISubscriber> to List<Object> so it can hold any subscriber type,Zero changes — just create PushSubscriber implements ISubscriber and call channel.subscribe(new PushSubscriber(...)),Add a new notifyPushSubscribers() private method and call it inside uploadVideo(),,3,"This is the core payoff of Observer: YouTubeChannel depends only on the ISubscriber abstraction, so new subscriber types plug in with zero modification to the subject.",3
"EmailSubscriber(String email) never explicitly calls super(...), and User has no explicit constructor of its own either. Why does this still compile?",email is treated as satisfying User's name field automatically via reflection,ISubscriber provides a default constructor that EmailSubscriber inherits directly,It doesn't compile — this is a bug in the course code,Java inserts an implicit no-arg super() call to User's implicit default constructor,,4,"Every constructor's first line is implicitly super() unless another constructor call is written explicitly, and Java auto-generates a no-arg constructor for any class (like User) that declares none.",1
"EmailSubscriber's constructor sets this.email = email but never touches User's name field or calls setName(...). Right after construction, what does mainak.getName() (cast to User) return?",null — name was never assigned for this instance,A NullPointerException at the getName() call,"""mg@gmail.com"" — the constructor argument auto-assigns to the nearest matching field","""Study with Mainak"" — inherited from the channel",,1,"Fields aren't auto-populated from unrelated constructor parameters. name stays at its default value, null, since nothing ever assigns it.",2
You need to remove rajesh from the channel's subscriber list before a second video upload. You call channel.unsubscribe(rajesh). What does ISubject.unsubscribe(ISubscriber subscriber) rely on internally to find and remove the correct object?,"channel.subscribers.remove(""rajesh"") — matching by variable name string","List.remove(Object), which uses equals()/reference identity to locate rajesh in the list",Unsubscribing isn't possible once uploadVideo() has been called even once,"rajesh's index in the list, since ISubject only supports unsubscribe(int index)",,2,"YouTubeChannel.unsubscribe() calls subscribers.remove(subscriber), and ArrayList.remove(Object) walks the list comparing with equals() (defaulting to reference equality here since ISubscriber implementers don't override equals()).",2
"EmailSubscriber and SMSSubscriber both override notifyUser() with a near-identical shape: print a start message, call super.notifyUser(), print a completion message — only the wording and fields differ. What existing course pattern would remove this duplication without changing the ISubscriber interface?",It's fine as-is; repeating a similar shape across two classes isn't worth fixing,Make notifyUser() static in User so both subclasses share one implementation automatically,"Pull the start/complete wrapper into a final template method in User, leaving only the middle piece (channel-specific start/complete text) as abstract hooks — the same idea as class-16/17's Template Method","Merge EmailSubscriber and SMSSubscriber into a single class with an if(type.equals(""email"")) branch",,3,"This is a genuine Template Method opportunity layered on top of Observer: fix the skeleton (start → core notify → complete) in the base class, vary only the hook text per subclass.",3
"If YouTubeChannel.subscribers were changed from List<ISubscriber> to List<User>, what concretely degrades, given EmailSubscriber and SMSSubscriber both extend User?",notifyUser() would silently stop being called since User doesn't override it,It would force every subscriber to be re-cast to ISubscriber inside notifyUser(),"It's a compile error immediately, since EmailSubscriber no longer satisfies List<User>",The channel now depends on the concrete User class instead of the ISubscriber abstraction — a brand-new subscriber type implementing ISubscriber directly (without extending User) could no longer be subscribed,,4,Coupling the subject to a concrete class instead of the interface reintroduces exactly the rigidity Observer is meant to remove — this violates DIP even though it still compiles and runs.,3
notifySubscribers() is private inside YouTubeChannel. A subclass PremiumYouTubeChannel extends YouTubeChannel wants to add logging every time subscribers are notified. Can it override notifySubscribers() to do this?,"No — private methods aren't inherited or overridable; the subclass would need notifySubscribers to be protected first, or it must override uploadVideo() entirely instead","No, because notifySubscribers is also implicitly final","Yes, because private only restricts external callers, not subclasses","Yes, any method can be overridden as long as the subclass is in the same package",,1,"Private methods are invisible to subclasses entirely — not just ""not overridable."" PremiumYouTubeChannel would need to override the public uploadVideo() and reimplement the loop, or the base class would need to expose a protected hook.",2
"A teammate proposes skipping ISubject/ISubscriber and hardcoding two fields in YouTubeChannel: List<EmailSubscriber> emailSubs and List<SMSSubscriber> smsSubs, with uploadVideo() looping over both. What's the concrete cost versus the real interface-based code?",It would break EmailSubscriber and SMSSubscriber's constructors,"Adding a third subscriber type (like PushSubscriber) now requires a new field, a new loop inside uploadVideo(), and editing YouTubeChannel.java itself — the real ISubscriber-based code needs zero changes there",It would make unsubscribe() faster since each list is smaller,No real cost — it performs identically since both approaches loop over lists,,2,"This is the classic ""closed for extension"" failure: every new subscriber type means touching the subject's source code again, which is exactly what the interface-based design avoids.",2
"Imagine a WeatherStation (Subject) that notifies a CurrentConditionsDisplay and a StatisticsDisplay (Observers) whenever temperature changes, mirroring YouTubeChannel's structure. Why should WeatherStation's notify loop hold a List<IDisplay> rather than separate fields for each concrete display?",Because separate fields would require making WeatherStation abstract,There's no real benefit — separate fields would work identically for any number of displays,So new display types (e.g. a ForecastDisplay) can subscribe without WeatherStation's source code changing at all — same reasoning as the real ISubscriber list,Because Java doesn't allow more than one field of the same generic type in a class,,3,Same rationale as class-21: a single collection typed to the interface keeps the subject open to new observer types without modification.,2
"A stock ticker Subject notifies a MobileApp, a WebDashboard, and an EmailAlert observer on every price change, structured just like YouTubeChannel/ISubscriber. If EmailAlert's onPriceChange() throws an unchecked exception midway through the notify loop (structured like YouTubeChannel's for-each), what happens to MobileApp and WebDashboard if they're later in the list?","They still get notified normally, since each observer's notify call runs on its own separate thread by default",The Subject automatically catches the exception and continues to the next observer,Only the throwing observer is skipped; the loop resumes at the next index automatically,They never get notified for that event — an uncaught exception propagates out of the for-each loop and stops it before reaching the remaining observers,,4,A plain for-each loop like notifySubscribers() has no built-in exception isolation — one misbehaving observer can silently break notification for everyone after it in the list. This is a real design risk worth guarding against (e.g. try/catch inside the loop).,3
"In an order-tracking system, an Order (Subject) notifies a Customer, a WarehouseSystem, and a LogisticsSystem (Observers) whenever its status changes, following the same subscribe/notify shape as YouTubeChannel. A new requirement appears: only WarehouseSystem should be notified when status becomes ""CANCELLED"", not the other two. What does this reveal about a plain Observer implementation like the course's?",The plain Observer notifies everyone on every event uniformly — filtering which observers care about which event types isn't handled by ISubject/ISubscriber alone and needs extra logic (e.g. passing an event type observers can check),This can only be solved by switching to the Strategy pattern instead of Observer,This proves Observer is the wrong pattern entirely for order tracking,Nothing — ISubject already supports per-observer event filtering out of the box,,1,"Observer's base contract is ""notify all registered observers,"" not ""notify only interested observers."" Selective/filtered notification is a real extension point, not something notifyUser(String) gives you automatically.",3
"A single ISubscriber instance is registered to two different YouTubeChannel objects (e.g. subscribed to both ""Study with Mainak"" and a second channel). Inside notifyUser(String message), how does that subscriber know which channel the notification came from, given the real method signature is notifyUser(String message)?","Each YouTubeChannel spawns a separate thread per subscriber, so the subscriber can check Thread.currentThread().getName()","It can't, as written — the message string is the only information passed; distinguishing the source channel would require changing the signature (e.g. notifyUser(String channelName, String message)) or passing the Subject itself",notifyUser() is called twice — once per channel — with the channel object substituted into the message,ISubscriber automatically receives a reference to the calling YouTubeChannel via a hidden parameter,,2,This is a legitimate limitation of the current minimal signature. It's exactly the kind of design gap worth pointing out: Observer doesn't guarantee source identification unless the contract is built to carry it.,3
"A test wants to verify that YouTubeChannel.uploadVideo() actually calls notifyUser() on every subscribed observer, without depending on real email/SMS sending. What's the cleanest way to do this, using the existing ISubscriber interface?",Directly access YouTubeChannel's private subscribers list via reflection and manually invoke notifyUser() on each,Modify YouTubeChannel to add a public getLastNotifiedMessage() method just for the test,"Create a lightweight test class implementing ISubscriber that just records whether notifyUser() was called (and with what message), subscribe it, then assert on it — no changes needed to YouTubeChannel",It's not testable without also spinning up real Email and SMS services,,3,This is the practical payoff of coding to ISubscriber: a test double is just another class implementing the same tiny interface — no test-specific changes to the subject are needed at all.,3
"Given SMSSubscriber's constructor:

public SMSSubscriber(String phoneNumber) {
    this.phoneNumber = phoneNumber;
}

and that it extends User (which has a private String name field with no matching constructor param here), what is kotari.getName() equal to immediately after new SMSSubscriber(""9191919191"") runs?","An empty string """"",It throws a NullPointerException on construction,"""9191919191""",null,,4,"Same reasoning as the EmailSubscriber name question: nothing in the constructor path ever assigns User.name, so it holds its default value of null. No exception is thrown just from having a null field.",1
