questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

public Ticket parkVehicle(IVehicle vehicle){
    ISpot spot = spotFinder.findAvailableSpot(vehicle);
    spot.assign();

    Ticket ticket = new Ticket(vehicle, spot, System.currentTimeMillis());
    ticketManager.save(ticket);

    return ticket;
}

ParkingFacade.parkVehicle() alone touches SpotFinder, ISpot, Ticket, and TicketManager. Main.java only ever calls facade.parkVehicle(vehicle). What problem does ParkingFacade actually solve?",Nothing would break structurally if it didn't exist — it's purely cosmetic,SpotFinder and TicketManager would fail to compile without a Facade wrapping them,"Without it, the caller (Main) would have to know about and directly orchestrate SpotFinder, TicketManager, and each spot's assign()/release() itself — Facade centralizes that multi-collaborator coordination behind one entry point",It's required because IVehicle is declared as an interface rather than a class,,3,Facade's whole job is hiding multi-collaborator orchestration behind a single simple entry point so the caller never needs to know the internal wiring.,1
"Real code:

public abstract class CommonSpot implements ISpot {
    protected IState state = AvailableState.getInstance();

    public void release() { state.release(this); }
    public void assign() { state.assign(this); }
}

instead of a simple private boolean isOccupied field with if-checks directly inside assign()/release(). What does the State pattern give you here that the boolean flag wouldn't?","Each state (AvailableState, OccupiedState) owns its own transition rules in one place — adding a third state later (e.g. UNDER_MAINTENANCE) means writing one new IState class, not editing an if-else buried inside CommonSpot itself",No real benefit for just 2 states — a boolean flag would work identically with equivalent complexity,State pattern is required because Java doesn't allow boolean fields inside abstract classes,State pattern makes CommonSpot thread-safe automatically,,1,State lets each transition rule live in its own class instead of being edited inside a shared if-else — the real payoff shows up once a third state is added.,2
"AvailableState and OccupiedState each expose a private constructor and a static getInstance() — every spot in the whole parking lot shares the SAME AvailableState object and the SAME OccupiedState object. Given neither state class holds a single field, why is sharing one instance across every spot completely safe?",It isn't fully safe — this is a bug the class hasn't caught yet,It's only safe because there happen to be very few spots in this specific parking lot,It's safe only because CompactSpot/LargeSpot/HeavySpot are declared final,"They're pure behavior objects — which spot is being acted on is passed in as a method argument (assign(this)/release(this)) rather than stored as a field on the state object, so there's nothing per-spot that a shared instance could ever get wrong",,4,"Stateless singletons are safe to share precisely because the varying piece (which spot) travels as a parameter, not as state on the object itself.",2
"PricingStrategyFactory picks an IPricingStrategy per vehicle via getPricingStrategy(vehicle), instead of one calculateFee(ticket, size) method with an if-else chain living inside ParkingFacade.unPark(). What's the actual advantage of the Strategy version?",Strategy makes fee calculation run measurably faster at runtime,"Adding a new pricing rule (a genuinely different formula, not just a different rate) means writing one new class implementing IPricingStrategy — ParkingFacade.unPark() itself never has to be touched","There's no real advantage today since both existing strategies use the identical formula, just a different constant",Strategy is required here because Ticket is declared final,,2,New pricing rules become pure additions (a new class) instead of edits to unPark()'s own body — the same OCP payoff seen with Factory Method back in class-22.,2
"HourlyBikePricingStrategy and HourlyCarPricingStrategy are identical except for one constant (15.0 vs 40.0). Given the earlier lesson that reflexively adding abstraction ""just in case"" is a premature-generalization risk, is keeping these as two separate classes still justified here?","Yes — unlike a case where a whole new constructor parameter and interface get added for a variation that doesn't exist yet, the Strategy interface here already exists at zero extra structural cost, against a real likelihood that parking pricing rules diverge by vehicle type later",No — this is premature generalization and the two classes should be collapsed into one rate-parameterized class immediately,It's only justified because Java requires exactly one class per implements clause,There's no meaningful comparison to make between these two situations,,1,Cheap-to-keep abstraction against a plausible future need is a different tradeoff than adding real new complexity for a need that doesn't exist — that's the distinction that matters.,2
"Real code:

public ParkingFacade(){
    this.ticketManager = new TicketManager();
    this.pricingStrategyFactory = new PricingStrategyFactory();
    this.spotFinder = new SpotFinder();
}

ParkingFacade constructs its own collaborators internally instead of receiving them as constructor parameters. What's the tradeoff being made here?","This is strictly better than constructor injection in every case, with no downside",This pattern is required because SpotFinder has a private constructor,"Simplicity for the caller (Main.java just calls new ParkingFacade(), no wiring needed) at the cost of testability and flexibility — you can't substitute a fake SpotFinder or TicketManager in a unit test without editing ParkingFacade's own source","It has no effect on testability, only on runtime performance",,3,Building your own collaborators trades away substitutability for convenience — a real cost when you later want to unit-test ParkingFacade in isolation.,2
"Real code:

public ISpot findAvailableSpot(IVehicle vehicle){
    ParkingLot lot = ParkingLot.getInstance();
    ...
}

SpotFinder reaches into the ParkingLot singleton directly instead of receiving a ParkingLot (or its floors) via its own constructor. What's lost by doing it this way?",Nothing is lost — ParkingLot must always be a singleton by definition of the domain,SpotFinder would fail to compile without calling ParkingLot.getInstance() directly,"This has no bearing on testing, it only affects thread safety","You lose the ability to test SpotFinder in isolation with a fake/smaller lot, its real dependency is hidden from anyone reading just its constructor, and it rules out ever running two independent ParkingLot instances (e.g. two branches) in the same process",,4,Reaching into a static singleton instead of accepting a dependency via the constructor hides what a class actually needs and blocks substituting a test double.,2
"Real code:

static {
    strategies.put(SpotSize.COMPACT, new CompactSpot());
    strategies.put(SpotSize.LARGE, new LargeSpot());
    strategies.put(SpotSize.HEAVY, new HeavySpot());
}
public ISpot getSpot(SpotSize spotSize) {
    return strategies.get(spotSize);
}

and Main.java calls groundFloor.addSpot(spotFactory.getSpot(SpotSize.COMPACT)) twice in a row. How many distinct CompactSpot objects does groundFloor actually end up holding?","Two distinct CompactSpot objects, exactly as expected","Just ONE — both calls return the SAME cached instance from the static map, so the floor's list holds two references to one object; assigning ""one"" of them occupies both, since they're really the same object, and capacity tracking breaks for any size with more than one spot",It throws a runtime exception since the same spot can't be added to a floor twice,"Two distinct objects, but they harmlessly share the same SpotSize enum reference",,2,"No `new` ever runs inside getSpot() — it only looks up an already-built instance from a static map, so every call for a given size returns the identical object.",3
Setting the previous bug aside — why is calling this class SpotFactory misleading in GoF pattern terms specifically?,It isn't misleading at all — this is a textbook Factory Method implementation,It's misleading only because it uses a HashMap instead of a switch statement,It's misleading only because SpotSize is an enum rather than an int,"A real Factory is expected to construct a NEW object per call when the caller wants a new one; this class instead looks up and returns a pre-built shared instance from a static map, with no new happening inside getSpot() at all — it behaves like a Registry/Flyweight, not a Factory",,4,"The naming mismatch is separate from the bug itself: this class was never doing construction, it was doing lookup.",2
"What's the minimal fix to make SpotFactory actually behave like a factory (return an independent object each call), while keeping the same method signature ISpot getSpot(SpotSize spotSize)?",Mark the existing CompactSpot/LargeSpot/HeavySpot instances as volatile,Change SpotSize from an enum to a class,"Replace Map<SpotSize, ISpot> with Map<SpotSize, Supplier<ISpot>> (or an equivalent per-size constructor reference), and call it inside getSpot() to produce a fresh instance each time, instead of storing already-built ISpot objects",Nothing needs to change — the real bug is inside Floor.addSpot() instead,,3,Storing a way to construct an object (a Supplier) instead of storing the object itself is what turns a lookup into an actual factory.,2
