questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

new ThreadPoolExecutor(
        corePoolSize, maximumPoolSize,
        keepAliveTime, TimeUnit.SECONDS,
        workQueue)

In a ThreadPoolExecutor, what is the actual difference between corePoolSize and maximumPoolSize?","corePoolSize is how many threads exist at startup; maximumPoolSize is how many can ever exist, full stop","corePoolSize is the number of workers created first and kept around by default; maximumPoolSize is the hard ceiling the pool may grow to, but only once the queue can take no more","corePoolSize handles fast tasks, maximumPoolSize handles slow tasks",There is no real difference - both just mean 'number of threads',,2,"Core threads are the pool's normal size. Extra threads, up to maximumPoolSize, are a last resort - reached for only when the queue itself has refused a task.",1
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2,                     // corePoolSize
        5,                     // maximumPoolSize
        60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

PoolState.print(""before any submit"", executor);
for (int i = 1; i <= 2; i++) {
    executor.execute(new SleepTask(i));
    PoolState.print(""after submitting task "" + i, executor);
}

Actual output:

    before any submit              poolSize=0  active=0  queued=0  completed=0  everScheduled=0
    after submitting task 1        poolSize=1  active=1  queued=0  completed=0  everScheduled=1
    after submitting task 2        poolSize=2  active=2  queued=0  completed=0  everScheduled=2
    ...
    after termination              poolSize=0  active=0  queued=0  completed=2  everScheduled=2

corePoolSize=2, maximumPoolSize=5. Exactly 2 tasks are submitted. How many worker threads exist once both are running?","5, because maximumPoolSize always applies immediately","2 - poolSize only grows to satisfy work that actually arrives, one worker per task until the core is full","0, because no thread is created until a task finishes","1, because only one thread is needed for 2 quick tasks",,2,"poolSize climbed 0 -> 1 -> 2, one new worker per submitted task, and stopped exactly at corePoolSize since 2 tasks needed no more than that.",1
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2,                     // corePoolSize
        5,                     // maximumPoolSize
        60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

PoolState.print(""before any submit"", executor);
for (int i = 1; i <= 2; i++) {
    executor.execute(new SleepTask(i));
    PoolState.print(""after submitting task "" + i, executor);
}

Same pool (core=2, max=5, queue capacity 3). A THIRD task is now submitted while the first two are still running. Does a third worker get created for it?","Yes immediately, since poolSize (2) is still less than maximumPoolSize (5)","No - poolSize is already at corePoolSize, so the task goes into the queue instead of getting a new worker","Yes, because the queue is empty so there is 'room' for a new thread",It depends on which task finishes first,,2,"A new worker is only created while poolSize < corePoolSize. Once the core is full, the executor's next move is always to try the queue, never to jump straight to another worker.",1
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 5; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 3 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

Actual output:

    after submitting task 1        poolSize=1  active=1  queued=0  completed=0  everScheduled=1
    after submitting task 2        poolSize=2  active=2  queued=0  completed=0  everScheduled=2
    after submitting task 3        poolSize=2  active=2  queued=1  completed=0  everScheduled=3
    after submitting task 4        poolSize=2  active=2  queued=2  completed=0  everScheduled=4
    after submitting task 5        poolSize=2  active=2  queued=3  completed=0  everScheduled=5

core=2, max=5, queue capacity 3. Five 3-second tasks are submitted one after another with the core workers already full. What is poolSize once all five have been submitted?",5 - one worker per task up to maximumPoolSize,"2 - tasks 3, 4 and 5 go into the queue; poolSize does not move at all",3 - one extra worker is created because the queue would otherwise overflow,It cannot be determined without knowing task duration,,2,"Verified: poolSize stayed at 2 through all five submissions, while queued climbed 0,0,1,2,3. The pool does not react to busy core threads by growing - it reacts by queueing.",1
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 5; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 3 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

Given the previous question's result, what condition would actually have to be true for the pool to create a THIRD worker?",Simply having more than corePoolSize tasks submitted,The queue must refuse a task - which only happens once it is completely full,A task must run for longer than 3 seconds,maximumPoolSize must be reached first,,2,"This is the whole ordering rule in one sentence: extra workers exist to handle a task the queue could not accept, not to handle 'busyness' in general.",2
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 8; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 4 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

Same config (core=2, max=5, queue capacity 3). Eight 4-second tasks are submitted in a row. Walk through what happens to tasks 6, 7 and 8 specifically.","They wait in the queue behind tasks 3, 4 and 5","The queue is already full (3/3) by the time they arrive, so each one forces a brand new worker to be created for it - poolSize climbs 2->3->4->5","They are rejected, since the queue is full","They replace tasks 3, 4 and 5 in the queue",,2,"Tasks 1-2 get core workers, 3-5 fill the queue, and only then does the executor start creating extra workers - one per task, since the queue has nowhere left to put them.",2
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 8; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 4 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

Once all 8 tasks in the previous question have been submitted, which finish FIRST: tasks 3-5 (queued early) or tasks 6-8 (given new workers)?","Tasks 3-5, because they were submitted first","Tasks 6-8, because they started running immediately on new workers, while 3-5 were still sitting in the queue waiting their turn",All 8 finish at the same time,"It alternates - 3, 6, 4, 7, 5, 8",,2,"Submission order and execution order are different things. A task queued early can easily finish LATER than a task submitted after it, if that later task got its own worker instead of waiting.",2
"Put these four steps in the order ThreadPoolExecutor actually follows when a new task is submitted:

  A. create another worker (up to maximumPoolSize)
  B. reject the task
  C. create a worker (while below corePoolSize)
  D. try to add the task to the queue","A, C, D, B","C, D, A, B","D, C, A, B","C, A, D, B",,2,"corePoolSize first, then the queue, then extra workers up to maximumPoolSize, and only if all three fail is the task rejected. Skipping straight to 'add a worker' the moment core is busy is the single most common misconception.",2
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 8; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 4 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

core=2, max=6 this time, queue capacity 4. If 20 identical slow tasks are submitted all at once, what is the LARGEST poolSize can ever reach?","20, since every task eventually needs a thread",6 - maximumPoolSize is a hard ceiling no matter how many tasks are waiting,"4, matching the queue capacity","2, because the queue will simply absorb everything",,2,"corePoolSize + queue capacity + (maximumPoolSize - corePoolSize) is the total the pool can be actively working on or holding. Nothing pushes poolSize past maximumPoolSize, ever.",1
"Real code:

ThreadPoolExecutor executor = new ThreadPoolExecutor(
        2, 5, 60, TimeUnit.SECONDS,
        new ArrayBlockingQueue<Runnable>(3));

for (int i = 1; i <= 8; i++) {
    executor.execute(new SleepTask(i));   // each SleepTask sleeps 4 seconds
    PoolState.print(""after submitting task "" + i, executor);
}

core=3, max=3 (deliberately equal), queue capacity 5. Ten tasks are submitted. What happens to poolSize as they arrive?",It grows steadily from 3 up toward 10,"It goes to 3 and never changes again - with core equal to max there is no 'extra worker' tier at all, so the queue (and eventually rejection) does all the remaining work",It stays at 0 until the queue is full,"It immediately jumps to 5, matching the queue capacity",,1,"When corePoolSize == maximumPoolSize, step A of the ordering rule (create an extra worker) can never fire, because there is no room above the core. Everything past the first 3 tasks depends entirely on the queue.",2
