questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is the Interface Segregation Principle (ISP)?,"No client should be forced to depend on methods it does not use — many small, focused interfaces are better than one large, general-purpose one",High-level modules should not depend on low-level modules,Subtypes must be substitutable for their base types,A class should have only one reason to change,,1,"ISP says clients shouldn't be forced to implement or depend on interface methods that are irrelevant to them, favoring small, role-specific interfaces over 'fat' ones.",1
Which SOLID letter does ISP represent?,I,S,L,D,,1,ISP is the 'I' in SOLID.,1
"In the notes, `interface Shape { getArea(); getVolume(); }` is called 'the problem.' What exactly is the problem described?",The interface cannot be implemented by any class,The interface has too few methods,The interface uses the wrong access modifier,"The Shape interface forces child classes to implement functions that the children should not have to have, since not every shape needs both area and volume",,4,The notes explicitly state the problem as: the Shape interface forces child classes to implement functions which the children should not have — a fat-interface ISP violation.,1
Which shape in the notes is the clearest victim of being forced to implement getVolume() despite it making no sense for it?,Line (a 1D shape),Cuboid,Rectangle,Sphere,,1,"A Line is one-dimensional and has no meaningful volume (or even area in the usual sense), yet the fat Shape interface would still force it to implement getVolume().",1
"Under the fat Shape interface design, what would Circle be forced to implement that it shouldn't need?",getArea(),A constructor,getVolume(),toString(),,3,Circle is a 2D shape; being forced to also implement getVolume() (a 3D concept) is exactly the kind of irrelevant obligation ISP warns against.,1
"What is the general term for an interface like the original Shape interface, bundling too many unrelated responsibilities into one contract?",A 'sealed interface',A 'fat interface' (or bloated/polluted interface),A 'functional interface',A 'marker interface',,2,"A 'fat interface' is the common term for an interface with too many methods, forcing implementers to support functionality they don't actually need — the core ISP anti-pattern.",1
"What was the notes' FIRST attempted fix for the fat Shape interface, splitting it into two smaller interfaces?",IShapeReader and IShapeWriter,"IAreaCalculable (with getArea()) and IVolumeCalculable (with getVolume()), so a shape only implements the capability it actually has",One combined interface renamed to IShapeAll,IShape2D and IShape4D,,2,"The first refinement in the notes separates area-calculation capability from volume-calculation capability into IAreaCalculable and IVolumeCalculable, letting Line/Circle/Square skip getVolume() entirely.",1
"Under IAreaCalculable / IVolumeCalculable, which interface(s) would Sphere and Cuboid implement?","Only IVolumeCalculable, nothing else","Only IAreaCalculable, nothing else",Both — since they are 3D solids that have both a surface area and a volume,"Neither, since 3D shapes are exempt",,3,"Sphere and Cuboid genuinely have both area and volume as meaningful properties, so implementing both segregated interfaces is appropriate for them, unlike forcing it on Line.",1
"The notes then present a SECOND, more refined segregation: Shape1D, Shape2D, and Shape3D. What method does Shape1D expose?",getVolume(),getPerimeter(),getArea(),getLength(),,4,Shape1D is defined with a single getLength() method matching what a 1D shape like Line can honestly provide.,1
What method does the Shape2D interface expose in the final design?,getArea(),getVolume(),getWeight(),getLength(),,1,Shape2D exposes exactly one method — getArea() — matching what 2D shapes like Circle and Square can meaningfully compute.,1
