questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Classic example: MediaPlayer interface has play(String filename). Your app already supports Mp3Player implements MediaPlayer. Now you need to support VLC and MP4 files via a third-party library that only exposes:

public class AdvancedMediaPlayer {
    public void playVlc(String filename) {
        System.out.println(""Playing vlc file: "" + filename);
    }
    public void playMp4(String filename) {
        System.out.println(""Playing mp4 file: "" + filename);
    }
}

You can't modify AdvancedMediaPlayer (it's a third-party jar). What's the correct Adapter structure here?","Create MediaAdapter implements MediaPlayer, holding an AdvancedMediaPlayer field, and have its play(filename) internally decide whether to call playVlc() or playMp4() based on file type",Create a static utility method MediaUtils.convert(AdvancedMediaPlayer p) that returns a String,Modify AdvancedMediaPlayer directly to implement MediaPlayer,Make Mp3Player extend AdvancedMediaPlayer so it inherits playVlc()/playMp4(),,1,The adapter satisfies the interface your app expects (MediaPlayer) while wrapping the incompatible third-party class and translating the call internally.,2
"In the MediaAdapter from the previous question, why must AdvancedMediaPlayer be held as a field (composition) rather than MediaAdapter extends AdvancedMediaPlayer (inheritance)?",There's no real reason — both approaches are functionally identical in every case,"Java doesn't allow multiple inheritance of classes, and MediaAdapter already needs to implements MediaPlayer while also gaining AdvancedMediaPlayer's behavior — composition avoids ever needing to extend two classes at once, and also works even if AdvancedMediaPlayer were final",Because interfaces cannot be implemented by any class that also extends something,"Because AdvancedMediaPlayer has private fields, inheritance is impossible in any language",,2,"Composition sidesteps Java's single-inheritance limit entirely, which is why it's the default choice for adapters.",2
"A weather app has its own TemperatureSensor interface expecting double getCelsius(). A legacy hardware SDK gives you LegacyFahrenheitSensor with only double getFahrenheit(), which you cannot modify. Which adapter correctly bridges this?

public class FahrenheitToCelsiusAdapter implements TemperatureSensor {
    private LegacyFahrenheitSensor sensor;

    public FahrenheitToCelsiusAdapter(LegacyFahrenheitSensor sensor) {
        this.sensor = sensor;
    }

    @Override
    public double getCelsius() {
        return (sensor.getFahrenheit() - 32) * 5.0 / 9.0;
    }
}",This is wrong — the adapter should extend LegacyFahrenheitSensor instead of wrapping it,"This is wrong — TemperatureSensor should be a concrete class, not an interface, for adapters to work","This is correct — it implements the expected interface, wraps the incompatible class, and translates the value inside the overridden method",This is wrong — getCelsius() should just call sensor.getFahrenheit() directly without conversion,,3,"This is a textbook-correct adapter: satisfies the target interface, wraps the incompatible object, converts the value inline.",2
"The ""square peg in a round hole"" teaching example: you have RoundHole.fits(RoundPeg peg) and want to fit a SquarePeg (which only has getWidth()) into it without modifying RoundHole or SquarePeg. What must the adapter provide to satisfy RoundHole.fits(RoundPeg peg)'s method signature?",A method on SquarePeg itself called asRoundPeg(),Change RoundHole.fits() to accept Object instead of RoundPeg,There's no way to adapt a square peg to a round hole — the shapes are fundamentally incompatible,A class like SquarePegAdapter extends RoundPeg (or implements the same type RoundHole.fits expects) that wraps a SquarePeg and computes an equivalent radius from its width inside an overridden method,,4,"The adapter must be shaped exactly like what fits() expects (a RoundPeg), computing an equivalent value from the square peg's own data.",2
"You're integrating a third-party payment SDK, StripeClient, which exposes charge(int amountInCents, String token). Your app's own code everywhere calls a PaymentGateway interface with void pay(double amountInDollars, String cardToken). Which is the correct adapter?

public class StripeAdapter implements PaymentGateway {
    private StripeClient stripeClient;

    public StripeAdapter(StripeClient stripeClient) {
        this.stripeClient = stripeClient;
    }

    @Override
    public void pay(double amountInDollars, String cardToken) {
        int cents = (int) Math.round(amountInDollars * 100);
        stripeClient.charge(cents, cardToken);
    }
}",Correct — it satisfies PaymentGateway's exact signature while translating both the unit (dollars to cents) and delegating to the incompatible SDK method underneath,Incorrect — StripeAdapter should extend StripeClient so no wrapping is needed,"Incorrect — the adapter shouldn't do any unit conversion; that logic belongs inside StripeClient, which you'd need to modify",Incorrect — pay() should call stripeClient.charge() with the dollar amount unconverted,,1,"Unit translation (dollars to cents) is exactly the kind of work an adapter is meant to absorb, keeping the mismatch invisible to callers.",2
"Suppose two teams each write an adapter for the same StripeClient, but one team's adapter also logs the transaction before calling stripeClient.charge(), and the other team's doesn't. Is this still a valid Adapter pattern usage?",No — adding logging makes it a Decorator instead of an Adapter,"Yes — Adapter only requires the wrapper to satisfy the target interface and internally use the incompatible class; anything else the adapter's overridden method does (logging, retries, etc.) is an implementation detail, not a violation of the pattern","Yes, but only if the logging happens inside StripeClient itself instead",No — Adapter classes must contain nothing but a single delegating call with zero extra logic,,2,Adapter's requirement is about satisfying the target interface while bridging an incompatible class — extra logic inside that bridge doesn't disqualify it.,1
"You maintain an IShipping interface with double calculateCost(double weightKg, String destination). A newly-acquired vendor's shipping API instead exposes ShippingQuote getQuote(ShippingRequest request), where ShippingRequest is a whole separate class you'd need to construct. What's the correct adapter shape?",Have every caller of IShipping construct a ShippingRequest themselves before calling calculateCost(),Skip the adapter and have IShipping extend the vendor's client class directly,"VendorShippingAdapter implements IShipping, wrapping the vendor's client object; inside calculateCost(), it constructs a ShippingRequest from the given parameters, calls the vendor's getQuote(), and extracts/returns the numeric cost from the resulting ShippingQuote","Change IShipping.calculateCost()'s signature to accept a ShippingRequest directly, so no translation is needed",,3,"The adapter absorbs the complexity of constructing the vendor-specific request object and unpacking its response, keeping the target interface simple.",1
"Why is it better for VendorShippingAdapter to construct the ShippingRequest object internally, rather than changing IShipping.calculateCost() to accept a ShippingRequest parameter directly?",ShippingRequest cannot be constructed inside another class in Java,It's not actually better — changing the interface signature is the correct approach,IShipping.calculateCost() can only accept primitive types by language restriction,"Changing IShipping's signature would force every existing caller across the whole codebase to know about and construct vendor-specific ShippingRequest objects, defeating the purpose of having a stable target interface that hides vendor-specific details",,4,Keeping the target interface stable and vendor-agnostic is the whole reason to introduce an adapter in the first place.,1
"A Duck interface has quack() and fly(). You have a Turkey class with gobble() and a weaker flyShortDistance(), and want to use turkeys wherever ducks are expected in a farm simulation. Which adapter correctly bridges this?

public class TurkeyAdapter implements Duck {
    private Turkey turkey;

    public TurkeyAdapter(Turkey turkey) {
        this.turkey = turkey;
    }

    @Override
    public void quack() {
        turkey.gobble();
    }

    @Override
    public void fly() {
        for (int i = 0; i < 5; i++) {
            turkey.flyShortDistance();
        }
    }
}","This is a valid adapter — it satisfies every method Duck requires, mapping quack() to gobble() and approximating fly() via repeated short flights, without modifying Turkey","Invalid — TurkeyAdapter must extend Turkey, not hold it as a field","Invalid — adapters can only do 1-to-1 method mapping, never approximate one method with repeated calls to another",Invalid — fly() cannot contain a loop inside an adapter method,,1,An adapter method's body can contain whatever logic is needed to produce equivalent behavior — including loops or approximations.,1
"If Duck had a third method, swim(), but Turkey has no swimming-related method at all, what are TurkeyAdapter's realistic options for implementing swim()?",TurkeyAdapter automatically inherits a default swim() from Object,"Provide a reasonable best-effort implementation (e.g. print something plausible, or no-op), since implements Duck forces every method to have SOME body — there's no way to partially implement an interface in Java",Delete swim() from the Duck interface so TurkeyAdapter doesn't need to worry about it,Leave swim() unimplemented; Java allows interface methods to be skipped if the underlying class doesn't support them,,2,"Implementing an interface is all-or-nothing in Java (barring default methods) — every abstract method needs a body, even if it's a best-effort stand-in.",1
