questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"`interface IParent { void doOperation(); }` `class Processor { private IParent strategy; public Processor(IParent strategy){ this.strategy = strategy; } public void process(){ strategy.doOperation(); } }`. If you write `new Processor(new ClassA())` and later need it to behave like ClassB instead, what's the correct move without touching Processor?",Edit Processor.process() to add an if/else for ClassB,Add a setStrategy(IParent s) method to Processor and call p.setStrategy(new ClassB()),Make ClassA extend ClassB,Change IParent to a concrete class and override doOperation(),,2,Constructor injection locks the strategy in at creation; a setter is what lets you swap the dependency at runtime without modifying the context class -- this is the whole point of the pattern.,1
"In a design where ICategory exposes getC() and IPrice exposes getP(), both injected into a Processor class via constructor, what is Processor in Strategy Pattern terminology?",A concrete strategy,The client,An abstraction layer with no responsibilities,The context class,,4,"Processor holds references to the strategy interfaces and delegates work to them -- that's the textbook definition of the context class, not a strategy itself.",1
`class Processor { private ICategory ic; private IPrice ip; public void process(){ String cat = ic.getC(); double price = ip.getP(); } }`. Why does process() call ic.getC() before ip.getP() instead of leaving the order up to whichever strategy is injected?,"Because the context class owns the algorithm's skeleton/sequence, while strategies only own the individual step's logic",Because Java requires methods to be called in declaration order,Because IPrice depends on ICategory internally,It's arbitrary and has no design significance,,1,"The strategies are swappable behaviors for each step, but who calls what and in what order is still the context's job.",1
"A junior dev ""simplifies"" Processor like this: `class Processor { public void process(String type){ if(type.equals(""cat1"")){ /* logic A */ } else if(type.equals(""cat2"")){ /* logic B */ } } }`. What has actually been lost by removing ICategory entirely?",Nothing -- this is functionally identical to the strategy version,Type safety only,"The ability to add a new category without modifying Processor, and the ability to inject a completely custom behavior at runtime","Performance, since interfaces are always slower than if/else",,3,"This is the classic anti-pattern the Strategy Pattern replaces -- every new category now forces you to edit process(), killing both OCP and runtime swappability.",1
Which line is the client's responsibility in a correctly wired Strategy Pattern? `// Line 1: interface IPrice { double getP(); }` `// Line 2: class DiscountPrice implements IPrice { public double getP(){ return 80.0; } }` `// Line 3: Processor p = new Processor();` `// Line 4: p.setP(new DiscountPrice());`,Line 1 only,Lines 3 and 4,Line 2 only,All four lines,,2,"The client (main/caller) is the one that instantiates the concrete strategy and injects it into the context -- Lines 1-2 are just the interface/strategy definitions, not the wiring.",1
`class Processor { private IParent strategy = new ClassA(); // set at declaration public void process(){ strategy.doOperation(); } }`. What design flaw does this specific line introduce?,ClassA is now impossible to instantiate,IParent is no longer needed as an interface,process() will throw a NullPointerException,"Processor now creates its own dependency instead of receiving it from outside, so no client can ever inject ClassB or ClassC",,4,This silently reintroduces tight coupling -- the context is manufacturing its own strategy instead of depending on an injected abstraction.,1
You need to add a LoyaltyDiscount strategy for IPrice. Which files/classes must change?,Just a new class LoyaltyDiscount implements IPrice -- nothing else,Only Processor,"Processor, IPrice, and every existing concrete IPrice implementation",IPrice must be deleted and redefined,,1,"If the design correctly follows Strategy + OCP, a new concrete strategy is purely additive -- Processor and existing strategies stay untouched.",1
`class Processor { private IParent strategy; public Processor(IParent strategy){ this.strategy = strategy; } public void setStrategy(IParent strategy){ if(strategy instanceof ClassB){ this.strategy = strategy; } } public void process(){ strategy.doOperation(); } }`. What's wrong with this setStrategy implementation?,"Nothing, this is correct defensive coding",It should throw an exception instead of using instanceof,"It secretly reintroduces coupling to a concrete class (ClassB) inside the context, breaking the whole premise that Processor should only know about IParent",setStrategy should be private,,3,"The moment the context starts checking instanceof ConcreteClass, it has smuggled a dependency on a specific implementation back into code that's supposed to only trust the abstraction.",1
A Processor class has both `Processor(IParent p){ this.iParent = p; }` and `setIParent(IParent p){ this.iParent = p; }`. What genuine capability does having both give you that having only the constructor would not?,None -- they're redundant,"The constructor guarantees Processor is never in an invalid state (no strategy) at creation, while the setter allows the strategy to be swapped later at runtime -- e.g., mid-session behavior changes",The setter is required by Java syntax whenever a constructor exists,It allows Processor to implement IParent directly,,2,"This pairing is deliberate: constructor injection enforces a valid initial state, setter injection is what actually delivers runtime polymorphism / switching algorithms without recreating the context object.",1
"Picture a duck simulator: every duck needs to fly and quack differently -- a MallardDuck really flies, a RubberDuck squeaks and can't fly at all. `interface FlyBehavior { void fly(); }` `class FlyWithWings implements FlyBehavior { public void fly(){ System.out.println(""Flying!""); } }` `class FlyNoWay implements FlyBehavior { public void fly(){ System.out.println(""I can't fly""); } }` `abstract class Duck { protected FlyBehavior flyBehavior; public void performFly(){ flyBehavior.fly(); } }` `class ModelDuck extends Duck { }` (constructor left empty). `new ModelDuck().performFly()` is called. What happens?","It prints ""I can't fly"" by default",Java auto-assigns FlyWithWings since ModelDuck sounds like it should fly,"NullPointerException, because flyBehavior was never assigned",It compiles but silently does nothing,,3,"The context (Duck) never got its strategy injected -- no constructor call and no setFlyBehavior() call means flyBehavior is null, same failure mode as Processor forgetting setIParent().",1
"`class Character { private WeaponBehavior weapon; public Character(WeaponBehavior weapon){ this.weapon = weapon; } public void setWeapon(WeaponBehavior weapon){ this.weapon = weapon; } public void fight(){ weapon.useWeapon(); } }`. The knight picks up a bow mid-battle. Which is the correct way to make him use it now, without losing his existing state (health, inventory, position)?",knight.setWeapon(new BowBehavior());,knight = new Character(new BowBehavior());,knight.weapon = new BowBehavior();,Create a new KnightWithBow extends Character class and swap objects,,1,Option 2 throws away the existing object (and its state) just to change one behavior -- exactly what the setter exists to avoid.,1
"`class Sorter { private SortStrategy strategy; public void sort(int[] arr){ strategy.sort(arr); } }`. No constructor, no setStrategy() call before sort() runs. What's the cleanest fix that keeps strategies swappable at runtime but guarantees this never happens?","Give strategy a default value like new BubbleSort() at declaration, with no way to change it later",Add a null check inside sort() that just returns silently if strategy is null,Make sort() static,Require a SortStrategy in the constructor (so Sorter can never exist without one) while still keeping a setStrategy() for later swaps,,4,Mandatory constructor injection guarantees a valid strategy from the moment the object exists; the setter is what still lets you change it later.,1
`ShoppingCart cart = new ShoppingCart(); cart.setPaymentStrategy(new CreditCardPayment()); cart.checkout(); cart.setPaymentStrategy(new PayPalPayment()); cart.checkout();`. Is reusing the same cart object across two different payment methods like this correct?,No -- a new ShoppingCart must be created for every payment method,Yes -- the context object's identity (and its cart contents) is independent of which strategy is currently plugged in,No -- PaymentStrategy implementations must be stateless singletons shared across all carts,"Yes, but only if CreditCardPayment and PayPalPayment share a common parent class",,2,This is the pattern working exactly as intended -- the same context can be reconfigured with a different algorithm at any time without rebuilding it.,1
