questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is the Dependency Inversion Principle (DIP)?,"High-level modules should not depend on low-level modules; both should depend on abstractions, and abstractions should not depend on details — details should depend on abstractions",Subtypes must be substitutable for their base types,Software entities should be open for extension but closed for modification,A class should have only one reason to change,,1,"DIP flips the traditional dependency direction: instead of high-level logic depending directly on low-level implementations, both depend on a shared abstraction, and low-level details implement that abstraction.",1
Which SOLID letter does DIP represent?,L,D,I,S,,2,DIP is the 'D' in SOLID.,1
From the notes' final section: 'class { Dependency -> create inside the classes / Expect the dependency from outside the class -> Dependency Injection / Inversion }'. What contrast is being drawn here?,The difference between public and private fields,The difference between abstract classes and interfaces,"Creating a dependency internally (e.g. `new SomeClass()` inside a class) versus receiving it from outside (injected in), which is the essence of dependency inversion/injection",The difference between compile-time and runtime errors,,3,The notes directly contrast a class creating its own dependency internally with a class expecting the dependency to be supplied externally — the core idea behind DIP and Dependency Injection.,1
"In `AreaCalculator`, what does the comment 'DIP Fixed - AreaCalculator receives Shape2D objects from outside. It does not create its own dependencies' describe?",AreaCalculator has no dependencies at all,AreaCalculator directly creates every shape it needs to calculate area for,"AreaCalculator does not do `new Circle()` internally; instead, the list of Shape2D objects is passed in via its constructor from the calling code",AreaCalculator extends the Shape2D interface directly,,3,"This is a textbook DIP fix: the high-level AreaCalculator doesn't instantiate concrete shape classes itself; it receives already-constructed Shape2D objects from outside, decoupling it from any specific shape implementation.",1
"Given `public AreaCalculator(List<Shape2D> shapes) { this.shapes = shapes; }`, what dependency injection technique is this?",Field injection via reflection,Setter injection,Interface injection via a factory,Constructor injection,,4,"Passing dependencies in through the constructor at object-creation time is called constructor injection, the technique used for both AreaCalculator and VolumeCalculator in the notes.",1
"If AreaCalculator instead had `this.shapes = List.of(new Circle(5), new Square(4));` written directly inside its own constructor, what DIP problem would this create?",It would have no effect on coupling at all,It would make AreaCalculator implement Shape2D directly,It would automatically calculate area faster,"AreaCalculator would be tightly coupled to specific concrete classes (Circle, Square) and would need to be modified any time the set of shapes changes, violating DIP",,4,"Hardcoding concrete shape creation inside AreaCalculator ties the high-level calculation logic directly to low-level shape classes, exactly the tight coupling DIP is meant to eliminate.",1
"In `Main.java`, who is responsible for calling `new Circle(5)`, `new Rectangle(4, 6)`, and `new Square(4)`?",The Scanner object creates them,Main — the calling/composition code creates the concrete shape objects and passes them into AreaCalculator's constructor,AreaCalculator creates them internally,The Shape2D interface creates them automatically,,2,"Main.java acts as the composition root: it builds the concrete objects (Circle, Rectangle, Square) and injects the resulting list into AreaCalculator, keeping AreaCalculator itself free of concrete shape construction.",1
What are 'high-level modules' and 'low-level modules' in the classic DIP definition?,High-level modules contain business/application logic (like AreaCalculator's calculation policy); low-level modules contain implementation details (like a specific Circle's math),There is no meaningful distinction between the two,High-level modules are interfaces; low-level modules are abstract classes,High-level modules are always GUI code; low-level modules are always database code,,1,"High-level modules define policy/orchestration (what to compute and why), while low-level modules provide concrete implementation details (how a specific shape computes its area) — DIP governs how these should relate.",1
"Without DIP, what would the direct (non-inverted) dependency arrow look like between AreaCalculator and Circle?",There would be no dependency at all between them,Shape2D would depend directly on AreaCalculator,AreaCalculator (high-level) would depend directly on the concrete Circle class (low-level),Circle would depend directly on AreaCalculator,,3,"In the naive, non-DIP design, high-level orchestration code depends directly on low-level concrete classes, creating tight coupling that DIP inverts by introducing a shared abstraction.",1
"With DIP applied via the Shape2D interface, what does the dependency arrow actually look like?","AreaCalculator depends on Circle, and Circle depends on AreaCalculator, mutually",Circle now depends directly on AreaCalculator instead,Shape2D depends on both AreaCalculator and Circle,"Both AreaCalculator (high-level) and Circle (low-level) depend on the Shape2D abstraction, rather than AreaCalculator depending directly on Circle",,4,"This is the 'inversion': instead of high-level code depending on low-level code, both sides depend on the abstraction (Shape2D) that sits between them, decoupling policy from implementation.",1
