questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is the Open/Closed Principle (OCP)?,High-level modules should not depend on low-level modules,A class should have only one reason to change,Subtypes must be substitutable for their base types,Software entities should be open for extension but closed for modification,,4,"OCP states that you should be able to add new behavior to a system (extension) without changing existing, already-tested code (modification).",1
Which SOLID letter does OCP represent?,S,I,L,O,,4,OCP is the 'O' in SOLID.,1
Who is generally credited with originally coining the Open/Closed Principle?,Bertrand Meyer,Martin Fowler,James Gosling,Robert C. Martin,,1,Bertrand Meyer introduced the Open/Closed concept; Robert C. Martin (Uncle Bob) later popularized it as part of SOLID.,1
What does 'open for extension' mean under OCP?,New behavior/functionality can be added to the system,Any developer can modify any file freely,Classes must always be marked open in Kotlin-style syntax,Every class must be declared public,,1,"'Open for extension' means the design allows new functionality to be added, typically through new classes implementing a shared abstraction.",1
What does 'closed for modification' mean under OCP?,The class must be marked final,"Existing, already-tested code shouldn't need to be edited to support new functionality",The class has no public methods,The class cannot be extended by any subclass,,2,"'Closed for modification' means the stable, verified source code of existing classes stays untouched when new behavior is introduced.",1
"From the course notes, how is 'extension' under OCP typically achieved in Java, and what is explicitly NOT the way to extend?",Achieved via inheritance/polymorphism; modification of the original class is explicitly not the way,Achieved via making all methods static,Achieved via modifying the original class directly; inheritance is not used,Achieved via deleting the original class,,1,"The class notes explicitly frame OCP as: extend via inheritance, not via modifying the existing class.",1
"In the IDiscount example (MembershipDiscount, CreditCardDiscount), what best demonstrates OCP?",Adding a new CouponDiscount class implementing IDiscount without changing any existing discount classes or the code that uses IDiscount,Adding an if-else check for coupon logic inside MembershipDiscount,Deleting CreditCardDiscount to make room for CouponDiscount,Renaming IDiscount every time a new discount type is added,,1,"OCP is demonstrated when a brand-new discount type can be added purely by creating a new class implementing the existing interface, with zero changes to existing code.",1
"In the DogSoundManager.makeSound(IDog dog) example, how would you add a new Beagle breed in an OCP-compliant way?",Add a new overloaded makeSound(Beagle dog) method,Edit makeSound() to add an if (dog instanceof Beagle) branch,Change IDog into a concrete class first,Create a new Beagle class implementing IDog; DogSoundManager itself requires no changes,,4,"Because makeSound() already depends on the IDog abstraction, any new implementing class like Beagle can be plugged in without touching DogSoundManager.",1
What's a classic anti-pattern that violates OCP?,A class with a private constructor,A method with no parameters,A class implementing a single interface,"A long if-else or switch statement that branches on a type, requiring edits every time a new type is added",,4,Conditional type-checking logic (if/switch on type) that must be edited for every new case is the textbook OCP violation.,1
"Given `if (type.equals(""CREDIT"")) {...} else if (type.equals(""COUPON"")) {...}` inside a PaymentProcessor, why does this violate OCP?",It violates the Liskov Substitution Principle instead,"Adding a new payment type requires modifying this existing, already-tested method",It uses interfaces incorrectly,It has too many private fields,,2,"Every new payment type forces an edit to this method, which is exactly the modification OCP tries to prevent.",1
What is the OCP-compliant fix for the PaymentProcessor if/else example?,Add more else-if branches as new payment types arrive,Convert the method to a static utility method,Hardcode all payment types into an enum with no interface,"Define a Payment interface implemented by CreditPayment, CouponPayment, etc., and call payment.process() polymorphically",,4,"Replacing type-checking branches with polymorphism lets you add new payment types as new classes, without editing the processing logic.",1
What is the core mechanism in Java that makes OCP-compliant designs possible?,The final keyword,Primitive data types,"Polymorphism, via interfaces or abstract classes",Static methods,,3,Polymorphism lets calling code depend on a stable abstraction while new concrete implementations provide new behavior — the technical foundation of OCP.,1
What role do interfaces/abstract classes play in supporting OCP?,They must always be modified whenever new behavior is added,They are unrelated to OCP,"They define the stable, 'closed' contract that consuming code depends on, while new concrete classes provide the 'open' extension point",They prevent any class from ever being extended,,3,"The interface/abstract class stays fixed (closed), while new implementing classes deliver new behavior (open for extension).",1
What real benefit does OCP provide regarding regression risk?,"Adding new functionality via new classes is unlikely to break already-tested existing code, since that code isn't touched",OCP guarantees there will never be any bugs,OCP has no effect on regression risk,OCP eliminates the need for any tests on new code,,1,"Because existing, verified code paths remain unmodified, the risk of introducing regressions when adding new features is significantly reduced.",1
What real benefit does OCP provide for team collaboration on new features?,It has no effect on collaboration,"Multiple developers can add new implementations (e.g., new discount types) simultaneously without editing a shared class, avoiding merge conflicts",It prevents developers from writing new classes,It requires only one developer to ever add new features,,2,"Because extension happens via new classes rather than edits to shared code, concurrent feature work is less likely to collide.",1
What real benefit does OCP provide for evolving business requirements over time?,It requires rewriting the entire system for every new rule,It prevents the business from ever changing its requirements,"New business rules (like new discount policies) can be handled by adding new code rather than editing stable, already-verified logic",It only works for read-only systems,,3,"OCP-friendly systems accommodate new requirements as additive changes, keeping the core, proven logic untouched and safe.",1
"Does OCP mean you should never modify any existing code, ever?","Yes, absolutely no code can ever be changed once written","Yes, but only test code can be modified","No, it means well-designed abstractions shouldn't require modification for anticipated kinds of extension; the abstraction itself may still occasionally evolve","No, OCP only applies to private methods",,3,"OCP is a design goal for anticipated extension points, not an absolute ban on ever touching code; abstractions can still evolve when genuinely necessary.",1
What is a potential downside of over-applying OCP?,There are no downsides to applying OCP anywhere,OCP always makes code run faster with zero downsides,OCP eliminates the need for interfaces entirely,Premature or speculative abstraction can add unnecessary complexity if the guessed extension points are never actually used,,4,Introducing abstraction for extension points that never materialize can add indirection and complexity without real benefit — a common critique of over-engineering.,1
"What is the Strategy design pattern, and how does it relate to OCP?","It encapsulates interchangeable algorithms/behaviors behind a common interface, letting new strategies be added without modifying existing code — a classic way to implement OCP",It has no relationship to OCP,It's a pattern for managing database transactions only,It requires all strategies to be static methods,,1,The Strategy pattern is one of the most direct implementations of OCP: new behavior variants are added as new classes implementing a shared interface.,1
"Is the IDiscount setup (MembershipDiscount, CreditCardDiscount, CouponDiscount) an example of the Strategy Pattern?","No, it's an example of the Singleton pattern","Yes, each discount type is an interchangeable strategy implementing the shared IDiscount interface","No, it's an example of the Observer pattern","No, Strategy pattern requires abstract classes only",,2,"Multiple interchangeable implementations behind one interface, selected/swapped by the client, is precisely the Strategy pattern in action.",1
"Given `IDiscount ds = new MembershipDiscount();`, what should you do to add CreditCardDiscount support while staying OCP-compliant?",Change ds's declared type to MembershipDiscount specifically,Add an if-else inside MembershipDiscount to also handle credit card logic,Delete IDiscount and hardcode logic directly,"Create a new class implementing IDiscount, without modifying existing discount classes or the code that consumes IDiscount",,4,"OCP-compliant extension means adding a new implementing class, leaving existing classes and consuming code unchanged.",1
"When adding CouponDiscount to an existing OCP-compliant discount system, which existing classes need modification?",MembershipDiscount and CreditCardDiscount must both be edited,All classes in the entire codebase must be recompiled and changed,None — only a new CouponDiscount class needs to be added,The IDiscount interface must be deleted and rewritten,,3,"A properly abstracted, OCP-compliant system lets you add new discount types purely additively, with zero edits to existing classes.",1
