questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

withdraw() is NOT marked synchronized - a `synchronized (this)` block is used inside it instead. What exactly does that block lock?","The withdraw() method, so no thread anywhere can run it",The BankAccount object it was called on. Two threads working on two DIFFERENT accounts never wait for each other,The balance field only,"The whole BankAccount class, so all accounts are locked together",,2,`synchronized (this)` locks the current object. This is the same lock a `public synchronized void withdraw()` would have taken - the block form just lets you choose how much of the method it covers.,2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

The `amount <= 0` check is deliberately left OUTSIDE the block. Why was it written that way?",Because a check cannot be placed inside a synchronized block,"Because it only looks at the argument, not at any shared data. Nothing about it can go wrong between threads, so putting it inside would make threads wait for no reason",Because negative amounts must be rejected before the account is created,Because the lock cannot be taken until the amount is known to be valid,,2,"The lock only needs to cover shared, changing data. `amount` is a parameter - each thread has its own copy - so guarding it buys nothing and costs waiting time.",2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

The balance check and the subtraction are both inside the same block. Why must they be together rather than locking just the subtraction?",They do not have to be - locking the subtraction alone would be equally safe,"Because otherwise another thread can slip in between the check and the subtraction, so both threads pass a check against the old balance and both then deduct",Because the compiler requires the if and the assignment in the same block,Because sleep() can only be called inside a lock,,2,Check-then-act only works if the whole decision is one indivisible unit. This is the single most common way a lock gets added and still fails to fix anything.,2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

// a broken variant
public void withdraw(int amount) {
    if (amount <= 0) {
        return;
    }
    if (amount > balance) {       // check now OUTSIDE the lock
        return;
    }
    synchronized (this) {
        balance = balance - amount;
    }
}

One shared account holds 1000 and two threads each withdraw 700 using the broken variant. What can happen?",Nothing changes - the subtraction is still protected,"Both threads can pass the balance check while the balance is still 1000, then take turns subtracting, leaving -400. The lock protected the subtraction but not the decision to subtract",The second thread throws an exception when the balance would go negative,"The balance ends at 300, the same as the correct version",,2,Verified against a no-lock version of exactly this shape: 7 out of 8 runs ended at -400. Locking only the write is a very convincing-looking non-fix.,2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

Why is there a `Thread.sleep(100)` sitting inside the synchronized block? What is it actually for?",It gives the balance time to update before the subtraction,"It is there for the demo. It stretches out the time spent inside the critical section, so the race is easy to reproduce and another thread is visibly kept waiting - it is not part of the fix","It is required, because synchronized blocks must contain a blocking call",It prevents the two threads from starting at the same instant,,2,The sleep does not cause the bug and does not fix it. Real bugs like this hit inside a few nanoseconds and hide on a fast machine; the sleep just widens the window so the behaviour can be seen and discussed.,2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

You delete the `Thread.sleep(100)` from the unsynchronized version of this code and the wrong balance stops appearing. What have you actually changed?",You have fixed the bug - no wrong balance means no problem,"Nothing about the bug. You have only made the dangerous window so small that you stop hitting it. The code is exactly as broken, it just now hides on this machine",You have made the code slower but safer,"You have removed the shared state, so no lock is needed",,2,This is why a threading bug cannot be dismissed because a few runs looked fine. Making a race harder to observe is the opposite of fixing it.,2
"The unsynchronized version of the bank account was run 8 times, two threads each withdrawing 700 from a shared 1000. It printed -400 seven times and 300 once. What does that VARIATION tell you?",That the code is correct 1 time in 8,"That the outcome depends purely on timing, so the same code gives different wrong answers on different runs. There are two separate failures here: an overdraft (-400) and a lost withdrawal (300, where 1400 was paid out but only 700 deducted)",That the JVM is faulty,That 300 is the correct answer and -400 is a rounding error,,2,Neither result is acceptable. Both come from the same gap between the check and the subtraction; which symptom you get depends on where the threads happen to interleave.,2
"Real code:

// Main
BankAccount account1 = new BankAccount(1000);
BankAccount account2 = new BankAccount(1000);

Thread t1 = new Thread(new WithdrawTask(account1, 700), ""T1"");
Thread t2 = new Thread(new WithdrawTask(account2, 700), ""T2"");

t1.start();
t2.start();
t1.join();
t2.join();

System.out.println(""Final balance: "" + account1.getBalance());
System.out.println(""Final balance: "" + account2.getBalance());

Look carefully at what each thread is given. Does this demo actually exercise the `synchronized (this)` block?",Yes - two threads are running withdraw() at the same time,"No. T1 uses account1 and T2 uses account2, so they lock two different objects and never wait for each other. Each just withdraws 700 from its own 1000 and prints 300","Yes, because both threads use the same WithdrawTask class","No, because 700 is less than 1000",,2,"Verified output is 'Final balance: 300' twice, and it would be 300 twice even with no lock at all. To make the lock matter, BOTH threads have to be handed the SAME account.",2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

// Main, changed so both threads share ONE account
BankAccount shared = new BankAccount(1000);

Thread t1 = new Thread(new WithdrawTask(shared, 700), ""T1"");
Thread t2 = new Thread(new WithdrawTask(shared, 700), ""T2"");

t1.start();
t2.start();
t1.join();
t2.join();

System.out.println(shared.getBalance());

Now both threads share one account of 1000 and each asks for 700, WITH the synchronized block in place. What is printed, and how many withdrawals succeed?","-400, because both withdrawals go through","300, and only ONE withdrawal succeeds. The second thread waits, then sees that 700 is more than the remaining 300 and returns without doing anything","300, and both withdrawals succeed","1000, because both are rejected",,2,"Verified: 300 on all 8 runs. The lock does not make both withdrawals work - it makes the second one correctly fail, which is the whole point.",2
"Real code:

public class BankAccount {
    private int balance;

    public BankAccount(int balance) {
        this.balance = balance;
    }

    public void withdraw(int amount) {
        if (amount <= 0) {
            return;
        }

        synchronized (this) {
            if (amount > balance) {
                return;
            }

            try {
                Thread.sleep(100);
            } catch (InterruptedException e) {
                Thread.currentThread().interrupt();
                return;
            }

            balance = balance - amount;
        }
    }

    public int getBalance() {
        return balance;
    }
}

getBalance() has no lock at all. Why is that acceptable in this demo, and when would it stop being acceptable?","It is always fine, because reading a value cannot break anything","It is fine only because Main calls it after join(), when no thread is still changing the balance. Called while the threads were running it could return a value from halfway through someone's withdrawal",It is fine because getBalance() returns a copy of the balance,It is never acceptable and the demo is simply wrong,,2,"The join() calls are doing the safety work, not the getter. A reader running alongside the writers needs the lock too.",2
