questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is abstraction in OOP?,Allowing a class to extend only one parent class,Combining data and methods into a single unit,Hiding complex implementation details and exposing only the essential features/behavior through a defined contract,Restricting direct access to class fields using private,,3,"Abstraction focuses on exposing what an object does via a simple interface, while hiding how it does it internally.",1
How is abstraction commonly achieved in Java?,Using only private fields,Using abstract classes and interfaces,Using only static methods,Using only final classes,,2,Abstract classes and interfaces are the two primary mechanisms Java provides to define contracts without exposing implementation.,1
What is the key difference between abstraction and encapsulation?,They are identical concepts with different names,Abstraction hides implementation complexity behind a contract; encapsulation hides internal data using access modifiers,Abstraction is only for interfaces; encapsulation is only for abstract classes,Encapsulation hides behavior; abstraction hides data,,2,"Abstraction is about design-level hiding of 'how' something works, while encapsulation is about restricting direct access to an object's internal state.",1
"In `public interface IDiscount { double getDiscount(); }`, what does the method lack?",A return type,A method body/implementation,Parameters,A name,,2,"IDiscount declares getDiscount() without any implementation, only the contract — a core abstraction technique.",1
Can IDiscount be instantiated directly with `new IDiscount()`?,"Yes, always",Only if it has no methods,"Yes, but only inside main()","No, interfaces cannot be instantiated directly",,4,"Interfaces represent contracts, not concrete objects, so they cannot be instantiated without a concrete implementing class.",1
"In `IDiscount ds = new MembershipDiscount();`, what concept does declaring the variable as IDiscount demonstrate?",Constructor overloading,"Abstraction — the calling code depends only on the IDiscount contract, not the concrete class details",Encapsulation of the MembershipDiscount fields,Multiple inheritance of implementation,,2,Coding against the interface type hides which concrete discount implementation is actually being used from the rest of the program.,1
What must MembershipDiscount do to compile successfully as a non-abstract class implementing IDiscount?,Mark the class as final,Declare getDiscount() as private,Provide a concrete implementation of getDiscount(),Leave getDiscount() unimplemented,,3,"Any concrete class implementing an interface must implement all of its abstract methods, or itself be declared abstract.",1
"Before Java 8, how were interface methods implicitly declared?",protected and static,public and abstract,private and final,package-private and default,,2,"Prior to Java 8's default/static methods, every interface method was implicitly public and abstract.",1
"Before Java 8, could an interface method have a body?","Yes, but only in abstract classes","Yes, all methods had default bodies","Yes, but only static methods had bodies","No, all methods were implicitly abstract with no body",,4,Traditional interfaces (pre-Java 8) only declared method signatures; implementation was strictly deferred to implementing classes.,1
What are fields declared in an interface implicitly treated as?,private and mutable,transient fields,"public, static, and final (constants)",protected instance variables,,3,"Any field declared in an interface is implicitly public static final, meaning it behaves as a constant shared by all implementations.",1
Can an interface have instance (non-static) fields holding per-object state?,"Yes, but only if marked transient","Yes, freely, just like a class","No, interface fields are always implicitly static (and final), so there is no per-instance state","Yes, but only private ones",,3,"Since interface fields are implicitly static and final, interfaces cannot hold mutable per-instance state — that's left to abstract or concrete classes.",1
Can an interface declare a constructor?,"No, interfaces cannot have constructors since they can't be instantiated on their own","Yes, but only private constructors","Yes, but only a no-arg constructor","Yes, exactly like a class",,1,"Constructors initialize instance state on object creation, but interfaces have no instantiable state, so constructors aren't allowed.",1
Can an abstract class have a constructor?,"No, abstract classes can never have constructors","Yes, and it typically runs when a concrete subclass is instantiated via super()","Yes, but it can never be called",Only if the class has no abstract methods,,2,"Abstract classes can define constructors to initialize shared state, invoked implicitly or explicitly (super()) when a subclass object is created.",1
Can an abstract class have instance fields with actual state?,"No, all fields become static automatically","No, fields are not allowed in abstract classes",Only public fields are allowed,"Yes, unlike traditional interfaces, abstract classes can hold regular instance fields",,4,Abstract classes behave like regular classes for fields — they can hold mutable instance state shared by all subclasses.,1
