questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

public class Counter {

    private int count = 0;

    public void increment() {          // no synchronized
        count++;
    }

    public int getCount() {
        return count;
    }
}

count++ looks like a single instruction. What does the machine actually do when it runs?",One single step that cannot be interrupted,"Three separate steps: read the current value, add 1 to it, write the new value back. A thread can be interrupted between any two of them","Two steps: read and write, with the addition done by the CPU register for free",It depends on whether count is declared private,,2,That gap between read and write is where everything goes wrong. This is why count++ is not safe to run from two threads even though it is one line of source code.,2
"Real code:

public class Counter {

    private int count = 0;

    public void increment() {          // no synchronized
        count++;
    }

    public int getCount() {
        return count;
    }
}

Two threads both call increment(). count is currently 5. Walk through the worst case: what value ends up stored after BOTH threads have incremented?","7, which is correct","6. Both threads read 5, both add 1 to get 6, and both write 6 - so two increments happened but only one was recorded","5, because both writes cancel out",It throws an exception when two threads write at once,,2,"This is a lost update. Nothing crashes and no error appears - the number is just quietly wrong, which is what makes it so hard to notice.",2
"Real code:

public class Counter {

    private int count = 0;

    public void increment() {          // no synchronized
        count++;
    }

    public int getCount() {
        return count;
    }
}

public class CounterRunnable implements Runnable {

    private final Counter counter;

    public CounterRunnable(Counter counter) {
        this.counter = counter;
    }

    public void doWork() {
        for (int i = 1; i <= 1000; i++) {
            counter.increment();
        }
    }

    @Override
    public void run() {
        counter.doWork();
    }
}

// Main
Counter c1 = new Counter();

Runnable countRunner = new CounterRunnable(c1);   // ONE counter, shared
Thread p1 = new Thread(countRunner, ""person1"");
Thread p2 = new Thread(countRunner, ""person 2"");

p1.start();
p2.start();
p1.join();
p2.join();

System.out.println(c1.getCount());

Two threads each call increment() 1000 times, with NO synchronized keyword. What will the final count be?",Always exactly 2000,"Somewhere between 1000 and 2000, and a different number nearly every run - however many updates got lost that time",Always exactly 1000,"Always 0, because the two threads cancel each other out",,2,"It can never exceed 2000 and it will rarely be below 1000, but the exact figure is luck. On a fast machine with a short loop you may even see 2000 by chance, which is the trap in the next question.",2
Your unsynchronized counter prints 2000 correctly on your laptop every time you run it. A colleague runs the same code and gets 1873. Who has the bug?,Your colleague - their machine is faulty,"The code has the bug in both cases. Yours is broken too; it just happened not to show. Timing-dependent bugs appear or hide based on machine speed, core count and load",Nobody - 1873 is an acceptable result for threaded code,"The JVM version, which must be different",,2,This is why 'it works on my machine' means nothing here. Correctness cannot be established by running it a few times and liking the answer.,2
Why is a bug that gives the wrong answer only SOMETIMES harder to deal with than one that is wrong every time?,It is not - both are equally easy to fix,"Because you cannot reproduce it on demand. Tests pass, you cannot step through it in a debugger reliably, and it tends to appear in production under load rather than on your laptop",Because intermittent bugs cannot be fixed at all,Because the compiler cannot see intermittent bugs,,2,A bug that is always wrong gets found and fixed the same day. A bug that is wrong one run in fifty survives for months.,2
"Real code:

public class Counter {

    private int count = 0;

    // critical section
    public synchronized void increment() {
        count++;
        try {
            Thread.sleep(5000);
        } catch (InterruptedException e) {
            System.out.println(""Interrupted"");
        }
    }

    public int getCount() {
        return count;
    }
}

With synchronized added, what is the final count for two threads doing 1000 increments each?",Between 1000 and 2000 depending on timing,"Exactly 2000, every single run. Only one thread can be inside increment() at a time, so no read-add-write sequence can overlap another","Exactly 1000, because the lock makes one thread wait forever","2000, but only on a single-core machine",,2,"Verified in class. The keyword converts a timing-dependent result into a deterministic one, which is the whole point.",1
"Real code:

public class Counter {

    private int count = 0;

    // critical section
    public synchronized void increment() {
        count++;
        try {
            Thread.sleep(5000);
        } catch (InterruptedException e) {
            System.out.println(""Interrupted"");
        }
    }

    public int getCount() {
        return count;
    }
}

The comment in the class marks increment() as the critical section. What does that term mean here?",Any method that is slow enough to matter,The stretch of code that touches shared data and must not be run by two threads at the same time if the data is to stay correct,Any method that has been marked synchronized,The part of the program that runs first,,2,"Note the direction of the reasoning: increment() is not critical BECAUSE it is synchronized. It was identified as critical first, which is the reason the keyword was added.",2
"Real code:

public class Counter {

    private int count = 0;

    // critical section
    public synchronized void increment() {
        count++;
        try {
            Thread.sleep(5000);
        } catch (InterruptedException e) {
            System.out.println(""Interrupted"");
        }
    }

    public int getCount() {
        return count;
    }
}

getCount() is not synchronized, yet the class reads it and gets a correct answer. Why is that safe HERE, and when would it stop being safe?","It is always safe, because reading cannot corrupt anything","It is safe only because it is called after p1.join() and p2.join(), so no thread is still changing count. Calling it while the threads were running could return a stale or half-updated value",It is safe because getCount() has no arguments,It is never safe and the code is simply wrong,,2,"The join() calls are doing the work here, not the method itself. A reader that runs alongside the writers needs the lock too.",2
"Real code:

public class BankAccount {

    private int balance = 1000;

    public void withdraw(int amount) {
        if (balance >= amount) {          // check
            balance = balance - amount;   // then act
            System.out.println(""paid out "" + amount);
        } else {
            System.out.println(""declined"");
        }
    }

    public int getBalance() {
        return balance;
    }
}

public class WithdrawTask implements Runnable {

    private final BankAccount account;

    public WithdrawTask(BankAccount account) {
        this.account = account;
    }

    @Override
    public void run() {
        account.withdraw(800);
    }
}

The balance is 1000. Two threads each run a WithdrawTask for 800. What can happen, and which lines are the critical section?",Only one succeeds - the second sees the reduced balance and is declined,"Both can succeed. Both threads can pass the balance >= amount check while the balance is still 1000, and both then deduct - leaving -600. The critical section is the check and the deduction together","Both are declined, because they arrive at the same time",The second thread throws an exception because balance would go negative,,2,"This is the classic check-then-act race. Guarding only the subtraction would not help - the check and the action have to be inside the same lock, otherwise another thread can slip in between them.",2
"Real code:

public class BankAccount {

    private int balance = 1000;

    public void withdraw(int amount) {
        if (balance >= amount) {          // check
            balance = balance - amount;   // then act
            System.out.println(""paid out "" + amount);
        } else {
            System.out.println(""declined"");
        }
    }

    public int getBalance() {
        return balance;
    }
}

Which fix actually prevents the double withdrawal?",Make balance private - it already is,"Mark withdraw() as synchronized, so the check and the deduction happen together with no other thread able to enter in between",Synchronize only the line balance = balance - amount,Change balance from int to double,,2,Locking just the subtraction leaves the gap between the check and the act wide open. The lock has to span the decision AND the action based on it.,2
"Real code:

public class SeatBooking {

    private boolean[] booked = new boolean[50];

    public void book(int seat, String customer) {
        if (!booked[seat]) {              // check
            booked[seat] = true;          // then act
            System.out.println(customer + "" got seat "" + seat);
        } else {
            System.out.println(""seat "" + seat + "" already taken"");
        }
    }
}

public class BookingTask implements Runnable {

    private final SeatBooking booking;
    private final String customer;

    public BookingTask(SeatBooking booking, String customer) {
        this.booking = booking;
        this.customer = customer;
    }

    @Override
    public void run() {
        booking.book(12, customer);
    }
}

Two customers try to book seat 12 at the same instant. What can go wrong?",Nothing - the boolean array handles this correctly,"Both can see booked[12] as false, both set it to true, and both are told they got the seat - one customer has paid for a seat that someone else is also holding",The array throws ArrayIndexOutOfBoundsException,The second booking silently overwrites the first with no visible effect,,2,"Same shape as the bank account, different domain: check that it is free, then claim it. Nothing is corrupted in memory - the array is fine - but the business outcome is wrong.",2
"Real code:

// From the PARKING LOT project (class-29)
public Ticket parkVehicle(IVehicle vehicle) {
    ISpot spot = spotFinder.findAvailableSpot(vehicle);   // finds a free spot
    spot.assign();                                        // then claims it

    Ticket ticket = new Ticket(vehicle, spot, System.currentTimeMillis());
    ticketManager.save(ticket);
    return ticket;
}

This is parkVehicle() from the parking lot project. If two cars arrived at exactly the same moment, what is the risk, and what is the name for this shape of bug?",No risk - findAvailableSpot() only returns spots that are free,"Both calls can be handed the SAME free spot, because finding it and claiming it are two separate steps with a gap in between. It is the same check-then-act race as the bank account and the seat booking",The second car would get a null spot and crash,"The tickets would be saved in the wrong order, but the spots would be fine",,2,This was written down during the parking lot review as 'isAvailable() check plus assign() are separate steps'. The reason it never actually bit is simply that nothing in that project ever ran two threads.,2
"Real code:

// From the VENDING MACHINE project (class-34)
if (!machine.canMakeChange(change)) {     // check
    machine.resetTransaction();
    throw new ChangeUnavailableException(""cannot make change of "" + change);
}

slot.dispenseOne();
machine.releaseChange(change);            // then act

This is the vending machine's change handling. Identify the same pattern.","There is no shared state here, so no race is possible","canMakeChange() checks the reserve and releaseChange() reduces it, with a dispense in between - so two purchases could both be told there is enough change and both then draw from a reserve that only covered one",The exception makes it safe,It is safe because resetTransaction() is called on the failure path,,2,"Three projects, three domains, one shape: parking spots, seats, and coins in a change reserve. Learning to spot the shape is the transferable skill.",2
"Real code:

// From the VENDING MACHINE project (class-34)
private static VendingMachine instance;

public static VendingMachine getInstance() {
    if (instance == null)
        instance = new VendingMachine();
    return instance;
}

This getInstance() has the same shape as the others. What can two threads calling it at the same time produce?",Always the same single instance - that is what the null check guarantees,"Two different VendingMachine objects. Both can see instance as null, both construct one, and each caller walks away with a different machine holding different slots and a different change reserve",A NullPointerException on the second call,Nothing - static fields are automatically thread-safe,,2,"Check-then-act again, this time deciding whether to build something. The snake game's HighScoreRegistry avoided it by creating the instance in a static final field instead, so there is no check to lose.",2
