questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"`public class Singleton { private static Singleton instance; private Singleton() {} public static Singleton getInstance(){ if(instance == null){ instance = new Singleton(); return instance; } return instance; } }`. What does making the constructor private, combined with getInstance(), actually achieve?","It makes the class abstract, so it cannot be instantiated at all","It allows unlimited instances to be created, but only through getInstance()","It has no real effect, private constructors behave identically to public ones","It makes it impossible for any code outside the Singleton class to call new Singleton() directly -- the only way to obtain a Singleton object from outside is through the public getInstance() method, which controls exactly how many instances ever get created",,4,Private constructor plus a controlled access point (getInstance) is the entire mechanism behind Singleton.,1
`Singleton s1 = Singleton.getInstance(); Singleton s2 = Singleton.getInstance();`. What is s1 == s2?,"false, since getInstance() is called twice","true -- the first call creates the object and stores it in the static instance field; the second call sees instance is no longer null and returns that exact same stored reference, so s1 and s2 point to the identical object in memory",This causes a compile error since Singleton has no public constructor,It depends on whether Singleton overrides equals(),,2,Both calls return references to the same stored object once it has been created.,1
"`Singleton s1 = Singleton.getInstance(); System.out.println(s1); Singleton s2 = Singleton.getInstance(); System.out.println(s2);`. Since Singleton does not override toString(), what do the two printed lines look like relative to each other?","They print the exact same text, e.g. Singleton@1b6d3586 twice -- since s1 and s2 are the same object, the default Object.toString() output (class name plus hashcode) is identical both times",They print two different hashcodes since two println calls happened,"They print ""null"" both times since instance starts as null",This throws a NullPointerException on the second println,,1,Same object means the default toString() output (class name plus hashcode) is identical both times.,1
"If Main.java tried Singleton s = new Singleton(); directly instead of calling getInstance(), what happens?","It compiles and creates a second, independent Singleton object","It compiles, but silently returns the existing shared instance instead of creating a new one","Compile error -- Singleton()'s constructor is private, so it is not accessible from Main (a different class), and Java refuses to compile the direct instantiation","It compiles, but throws a runtime exception the first time it's called",,3,A private constructor cannot be called from any class other than the one that declares it.,1
"Inside Singleton.getInstance(), the line instance = new Singleton(); calls the same private constructor. Why does this compile, when Main.java calling new Singleton() does not?",getInstance() is a special method name that Java exempts from access checks,"Static methods are always allowed to call any constructor, private or not",This is actually a bug in the code and shouldn't compile,"private restricts access to code outside the class -- it does not restrict the class from calling its own private members from within itself; getInstance() is defined inside Singleton, so it's allowed to call Singleton's own private constructor, the same rule that let processOrder() call private helper methods inside PaymentProcessor",,4,"Privacy is a boundary around the class, not a restriction on the class calling its own members.",1
"The class notes ask: can we keep the instance field final for the lazy Singleton above? What's the answer, and why?","Yes, marking it final has no effect on lazy initialization either way","No -- final static fields must be assigned at declaration or inside a static initializer block, never inside a regular method; since instance is intentionally assigned lazily inside getInstance() (only on the first call), the compiler will not allow final here","Yes, but only if getInstance() is also marked final","No, because static fields can never be marked final in Java under any circumstance",,2,Lazy assignment inside a normal method is fundamentally incompatible with the final keyword's assignment rules.,1
"`public class Singleton { private static final Singleton instance = new Singleton(); private Singleton() {} public static Singleton getInstance() { return instance; } }`. Is this valid, and what's the real trade-off compared to the lazy version?","Valid -- the assignment happens right at declaration, which satisfies final's rules, so getInstance() no longer needs a null check at all; the trade-off is this object gets created the moment the class loads, whether or not getInstance() is ever called, whereas the lazy version only pays that cost on first use","Invalid, new Singleton() cannot appear in a field initializer","Valid, and behaves identically to the lazy version in every respect","Valid, but getInstance() must still contain an if-null check for this to work correctly",,1,Eager initialization trades upfront creation cost for a simpler getInstance() with no null check needed.,1
Class Reporter and class Logger both independently call Singleton.getInstance() somewhere in their own code. Do they end up holding different Singleton objects?,"Yes, each calling class gets its own separate instance",Only if Reporter and Logger are in different packages,"No -- there is exactly one Singleton instance for the entire application, stored once in the static instance field; every caller anywhere receives a reference to that same single object",It depends on the order in which Reporter and Logger are loaded,,3,"The static field is shared at the class level, so every caller everywhere gets the same object.",1
`public static Singleton getInstance(){ return new Singleton(); }` (bug: missing the null check entirely). What does this broken version do to the Singleton guarantee?,"Nothing changes, Java automatically prevents more than one instance from being constructed",This causes a compile error since new Singleton() cannot appear inside getInstance(),This throws a runtime exception on the second call,"It completely breaks the pattern -- every call to getInstance() now constructs and returns a brand-new object, so Singleton.getInstance() == Singleton.getInstance() would now be false; nothing in the language enforces only one instance, the whole guarantee lives entirely in this method's logic being written correctly",,4,The Singleton guarantee is entirely a matter of correct logic in getInstance() -- Java does not enforce it structurally.,1
Suppose Singleton()'s constructor has no access modifier at all (package-private) instead of private. Does the singleton guarantee still hold?,"Yes, package-private is just as restrictive as private for this purpose","No -- any other class within the same package could still call new Singleton() directly, bypassing getInstance() entirely and creating additional instances; only private fully closes off construction to everyone except the class itself","Yes, because getInstance() would still be the only public way to reach it","No, but only if the other class is in a different package",,2,Package-private still permits any class in the same package to construct additional instances directly.,1
"A developer proposes making Singleton an abstract class instead of giving it a private constructor, believing this also guarantees only one instance. Is this correct?","No -- declaring a class abstract only prevents that specific class from being instantiated directly; it does not limit the total number of objects in existence, and does not relate to controlling instance count the way a private constructor plus getInstance() does. Abstract classes solve a different problem (deferring implementation to subclasses)","Yes, abstract classes and Singletons are functionally identical","Yes, since abstract classes can never be instantiated at all, by anyone, ever","No, but only because abstract classes cannot have static methods",,1,"Abstract classes prevent direct instantiation of that class, but concrete subclasses could still be instantiated any number of times -- this is not the Singleton mechanism at all.",1
"`public class PlayState implements IState { private static final PlayState singleton = new PlayState(); private PlayState(){} public static PlayState getInstance(){ return singleton; } ... }`. Which initialization style is this, and why is it reasonable specifically for a State Pattern implementation?",Lazy initialization -- it defers creating PlayState until the first time play() is called on it,"This is neither eager nor lazy, it's a third, unrelated initialization style unique to interfaces","Eager initialization -- the single PlayState object is created immediately when the class loads. This is reasonable here specifically because PlayState (like the other IState implementations) holds no per-instance data, so there is no real downside to creating it upfront, and it removes the need for a null check","Lazy initialization, since the field could theoretically be reassigned later",,3,"Assignment at declaration is eager initialization, a natural fit for a stateless object with no construction cost concerns.",1
