questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"`new UserProfile(""Mainak"", ""mainakgh1@gmail.com"", 28, ""9810101010"", ""test"", ""delhi"", ""UP"", true, true)` -- what's the core pain point of this constructor call?",Java does not allow constructors with more than 5 parameters,The constructor executes slower with more parameters,This object cannot be garbage collected properly,"With 9 positional parameters (several of the same type -- String, String, boolean, boolean), the caller must memorize the exact order and meaning of every position; misreading which value goes where is easy and the compiler catches none of it",,4,"Long, same-typed positional parameter lists are the classic 'telescoping constructor' readability problem.",1
"If the constructor's parameter order changes (say, swapping city and state), what happens to u1 through u4 in Main?","Every existing call site must be manually found and edited to match the new order, since positional arguments have no other way to indicate which value maps to which field","Nothing, Java automatically re-maps arguments to their correct fields by name",Only u1 needs to change since it was declared first,"The code fails at runtime with a NullPointerException, not a compile issue",,1,This is literally 'pain point 2' from the code comments -- positional constructors ripple across every call site when the order changes.,1
"The constructor has two boolean parameters back to back (isSubscribedToNewsletter, isVerified). Someone accidentally writes ""..., false, true)"" meaning the opposite. What happens?","Compile error, Java requires named boolean arguments",Java throws an IllegalArgumentException at runtime warning about the swap,"It compiles and runs completely fine with the swapped meaning silently baked in -- the compiler has no way to know which boolean was meant for which field, since both are the same type and only position distinguishes them",The IDE automatically renames the variables to prevent this,,3,Same-typed positional parameters are a silent bug magnet -- exactly what named Builder setters eliminate.,1
"In the Builder-pattern version of UserProfile, why is the real constructor declared private?",Private constructors are required for classes with more than 5 fields,To force every client to go through UserProfile.Builder to create an instance -- nobody outside the class can call new UserProfile(...) directly,Because final fields require a private constructor,To prevent the class from ever being subclassed,,2,Making the constructor private forces Builder to be the only supported way to construct a UserProfile.,1
public static class Builder { ... } is declared static. What breaks if static were removed?,"Nothing, static is purely cosmetic here",Builder could no longer have a build() method,Builder's fields would automatically become final,"A non-static inner class instance is tied to an existing instance of the outer class; you would need something like userProfile.new Builder() -- but there is no UserProfile instance yet, that is the whole point of the Builder. static lets Builder be created independently with new UserProfile.Builder()",,4,"Non-static inner classes require an existing outer instance, which contradicts the entire purpose of a Builder used to create that instance in the first place.",1
"Builder.build() calls new UserProfile(this), invoking the private constructor. Why does this compile?",Builder is a nested class of UserProfile; Java grants nested classes and their enclosing class mutual access to each other's private members,"private only applies to fields, never constructors",The constructor is secretly public at compile time because of the static keyword on Builder,build() is a special method name that bypasses access modifiers,,1,"Nested classes and their enclosing class can access each other's private members -- this is a standard Java visibility rule, not a special case for Builder.",1
Every field in UserProfile is final -- assignable exactly once. How does the Builder let you set nine values one at a time if the target's fields can only be assigned once?,final fields can actually be reassigned as long as it happens through a Builder,The Builder secretly uses reflection to bypass final,"The step-by-step calls only ever modify the Builder's own mutable fields; UserProfile's final fields are all assigned exactly once, together, inside the private constructor when build() finally runs","UserProfile's fields are not really final, the keyword is ignored here",,3,"The mutable staging area is the Builder; the immutable target object is only ever assembled once, at the end.",1
"`UserProfile u = new UserProfile.Builder().name(""Mainak"").age(28).build();` -- .email(...) was never called. What is u.getEmail()?",Compile error since email was never set,"null -- Builder.email defaults to null since it was never assigned, and build() copies that straight into UserProfile.email with no enforcement that it be set","An empty string """"",build() throws a runtime exception automatically,,2,This is the real limitation of a plain Builder -- no required-field enforcement exists unless you explicitly add it.,1
Where's the right place to check that name and email must never be null before an object is created?,"Inside UserProfile's getters, throwing if the field is null when read","Inside Builder's constructor, before any setters are called","Inside main(), checked manually every time","Inside build() itself -- since every field has been set (or left at default) by the time build() runs, this is the one place that can validate the fully-assembled state before constructing the object, e.g. throwing IllegalStateException if name/email is null",,4,build() is the single point where the fully-assembled state can be validated before the immutable object is actually created.,1
Why must public Builder name(String name) { this.name = name; return this; } return Builder (specifically this) instead of void or UserProfile?,"Returning this is what allows the next call in the chain (.age(28)) to be invoked on the result; void would break chaining since you can't call a method on void, and UserProfile would be wrong since the object isn't fully built yet",void methods cannot be called from main(),Java requires all setter methods to return their own type by naming convention,Returning UserProfile early would make build() unnecessary and is actually a valid simpler alternative,,1,Returning this (typed as Builder) is exactly what keeps the fluent chain compiling call after call.,1
"`UserProfile u1 = new UserProfile.Builder().name(""A"").age(28).build();` and `UserProfile u2 = new UserProfile.Builder().age(28).name(""A"").build();`. Does the order in which you call the fluent setter methods (.name() before .age(), vs .age() before .name()) affect the final field values of the resulting object?","Yes, u1 and u2 will have completely different field values","No, but only because name and age happen to be declared in that order in the class","No -- each fluent method sets exactly one named field regardless of call order, so u1 and u2 end up identical; this is the direct fix for the positional-order problem in the constructor version","No, but only if age is called before name specifically",,3,Named setters are order-independent by nature -- this is the direct practical win over a positional constructor.,1
"Suppose UserProfile had `private final List<String> tags;` set via `Builder.tags(List<String> tags) { this.tags = tags; }`. After .tags(myList).build(), the caller does myList.add(""newTag"") on the original list. What happens to the built UserProfile's tags?",Nothing -- final on the field automatically creates a deep copy of the list,"The built UserProfile's tags still points at the exact same List object, so the external mutation is visible through it too -- final only prevents reassigning which object the field points to, it does not protect the contents of a mutable object it refers to; a real fix needs a defensive copy",Compile error since tags is final,The UserProfile object automatically becomes mutable as a result,,2,This is the shallow-vs-deep immutability gotcha -- final on a reference field does not protect the referenced object's contents.,1
"`UserProfile.Builder b = new UserProfile.Builder().name(""Mainak"").age(28); UserProfile u1 = b.build(); UserProfile u2 = b.build();`. Are u1 and u2 the same object?","Yes, build() always returns a cached reference once created","No, but only because age was set before the first build()",Java throws an exception if build() is called twice on the same Builder,"No -- build() runs new UserProfile(this) each time it is called, so u1 and u2 are two separate objects (with identical values here, since b did not change in between)",,4,Each call to build() constructs a brand-new object unless the implementation is deliberately changed to cache one.,1
"UserProfile needs a new optional field country. In the Builder version, what's required?",Every existing call site across the codebase must add .country(...) or stop compiling,UserProfile's private constructor must be deleted and made public,"Add a private final String country field, a matching mutable field plus a country(String) fluent setter in Builder, and copy it across in the private constructor -- every existing call that never uses .country(...) keeps compiling and working exactly as before, with country simply defaulting to null",Builder must become non-static to support the new field,,3,Adding a new optional field to the Builder version is purely additive -- no existing client code needs to change.,1
Now do the same exercise on the WithOut-Builder version -- add a required country parameter into the middle of the 9-parameter constructor. What happens to u1 through u4?,"Nothing, Java auto-inserts null for the new parameter at every call site",All four existing calls now have the wrong number/order of arguments and fail to compile until every one is manually updated -- exactly the ripple effect the Builder version avoids,Only new objects created after the change are affected,The constructor becomes overloaded automatically to support both parameter lists,,2,This is the direct contrast with the Builder version -- the telescoping constructor breaks every call site on any structural change.,1
Why does creating a Builder require new UserProfile.Builder() instead of just new Builder() from outside UserProfile?,Builder is a reserved keyword requiring a prefix,This is purely stylistic with no actual requirement,"Builder is a nested class declared inside UserProfile, so its fully qualified name from outside is UserProfile.Builder -- it is not a standalone top-level class","static nested classes must always be instantiated using their own class name only, never new",,3,Nested classes are referenced through their enclosing class's name from outside code.,1
Business rule: phoneNumber must not be null whenever isVerified is true -- a rule spanning two fields. Where should this check live?,"Inside isVerified(boolean isVerified), since that's the field the rule is about","Inside build() -- a rule depending on the combination of two fields can only be meaningfully checked once both have their final values, which is only guaranteed right before construction; a single setter cannot see a field set later in the chain",Inside phoneNumber(String phoneNumber),This kind of check is impossible with the Builder Pattern,,2,"Cross-field validation needs the full picture, which only exists once every setter call has happened -- that's build()'s moment.",1
"UserProfile has no setters at all, only getters. Once build() returns an instance, what does this guarantee?",The object can still be modified by calling getters with new arguments,The object's fields can be changed later with normal Java code,UserProfile's fields are still mutable through the Builder that created it,"The returned UserProfile cannot be changed by any code afterward -- there is no method available to reassign any field, so its state is fixed for its whole lifetime",,4,No setters plus final fields together guarantee the object is fully immutable once constructed.,1
