questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code we built:

public abstract class PaymentDecorator implements IPayment {

    protected IPayment ip;

    public PaymentDecorator(IPayment ip) {
        this.ip = ip;
    }
}

Why is ip declared protected instead of private, given PaymentDecorator itself never calls ip.pay()?",Because FeeDecorator and RewardDecorator extend PaymentDecorator and need direct access to ip inside their own overridden pay() methods — a private field would be invisible to them,There's no real reason — private would work identically here,Because protected fields are automatically initialized to null if never set,Because interfaces require all wrapped fields to be protected by default,,1,"Same rule seen back in class-16/17: private members of a base class are invisible to subclasses, so anything a subclass needs to touch directly must be at least protected.",1
"FeeDecorator's constructor calls super(ip) instead of directly writing this.ip = ip. What would break if FeeDecorator tried this.ip = ip directly instead, given ip is declared in PaymentDecorator?",FeeDecorator would need to redeclare its own separate ip field first,"It wouldn't compile as a standalone statement in the constructor unless super(ip) (or another constructor call) runs first — but more importantly, since ip is inherited, this.ip = ip inside FeeDecorator's constructor would still work fine AFTER super() runs; skipping super(ip) entirely would leave ip unset (null) unless assigned manually",protected fields cannot be assigned from a subclass constructor under any circumstance,this.ip and super.ip refer to completely different fields with no relationship,,2,super(ip) is the cleanest way to initialize an inherited field; skipping it entirely (with no other assignment) would leave ip null.,1
"PaymentDecorator implements IPayment but never overrides pay() itself. Given pay() is abstract in IPayment, why doesn't PaymentDecorator fail to compile despite not providing a body for it?",IPayment.pay() must be declared with a default body for this to work,"PaymentDecorator secretly does implement pay(), it's just hidden by the abstract keyword","PaymentDecorator is itself declared abstract, which allows a class to implement an interface while still leaving some of its methods unimplemented — the obligation to provide a body passes down to whichever concrete subclass eventually extends it",Java automatically supplies an empty default body for any unimplemented interface method,,3,Abstract classes can defer implementing interface methods to their own subclasses — this is exactly how PaymentDecorator stays valid without a pay() body.,1
"Given:

IPayment upiWithFeeThenReward = new RewardDecorator(new FeeDecorator(new UPI()));
upiWithFeeThenReward.pay();

with FeeDecorator.pay() calling ip.pay() first, then printing ""deducting fee"", and RewardDecorator.pay() calling ip.pay() first, then printing ""adding reward points"" — what's the exact printed order?","""deducting fee"", then ""adding reward points"", then ""paying using UPI""","""paying using UPI"", then ""adding reward points"", then ""deducting fee""","""adding reward points"", then ""deducting fee"", then ""paying using UPI""","""paying using UPI"", then ""deducting fee"", then ""adding reward points""",,4,"Tracing inside-out: UPI.pay() runs first (innermost), then FeeDecorator's own line, then RewardDecorator's own line as the call unwinds back outward.",2
"Now suppose FeeDecorator.pay() is changed to print ""deducting fee"" BEFORE calling ip.pay(), while RewardDecorator.pay() stays unchanged (calls ip.pay() first, then prints ""adding reward points""). For the same RewardDecorator(FeeDecorator(UPI())) construction, what changes in the output?","""deducting fee"" now prints before ""paying using UPI"", since FeeDecorator's own logic runs before it delegates to UPI — the overall order becomes: ""deducting fee"", ""paying using UPI"", ""adding reward points""",This causes a compile error since decorators must always call ip.pay() first,Nothing changes — decorator ordering in output is fixed regardless of where each decorator places its own logic relative to ip.pay(),"""adding reward points"" would now print first instead",,1,"Where a decorator places its own logic relative to the delegated call is entirely up to that decorator's implementation, and directly determines output order.",1
"A coffee shop app has Beverage interface with double cost() and String getDescription(). Espresso implements Beverage returns a base cost. You want to support ""add milk"" and ""add caramel"" as optional add-ons, in any combination, without writing EspressoWithMilk, EspressoWithCaramel, EspressoWithMilkAndCaramel as separate classes. What's the decorator-based fix?","Create one Beverage subclass per combination, since that's the only way to support ""any combination""","BeverageDecorator implements Beverage (holding a Beverage field), with MilkDecorator and CaramelDecorator each extending it, overriding cost() to add their own charge on top of the wrapped beverage's cost, and getDescription() to append their own label — stacked via constructor nesting, same as the payment example","Add a boolean hasMilk and boolean hasCaramel field directly to Espresso, with cost() branching on both flags internally",Make Beverage an abstract class with hasMilk() and hasCaramel() as required overrides for every implementer,,2,Same shape as the payment decorators — a shared abstract base plus concrete add-on decorators stacked freely at construction time.,1
"In the coffee shop version, MilkDecorator.cost() would look like:

public double cost() {
    return beverage.cost() + 0.50;
}

Why does it call beverage.cost() rather than hardcoding the base Espresso price directly inside MilkDecorator?",beverage.cost() is required syntax whenever a field is typed as an interface,This is only necessary if Espresso has multiple constructors,"Because beverage could be a plain Espresso, or it could be another decorator (like a CaramelDecorator wrapping an Espresso) — calling beverage.cost() polymorphically lets MilkDecorator work correctly no matter what it's actually wrapping, without ever needing to know",Hardcoding the price would actually work identically and is just a style preference,,3,Polymorphic delegation is what makes stacking work at all — the decorator never needs to know or care what's really underneath it.,1
"A junior dev suggests skipping decorators entirely and just adding boolean hasMilk, boolean hasCaramel, boolean hasWhippedCream fields directly onto Espresso, with cost() summing up whichever flags are true. Functionally this can produce the same prices. What does it lose compared to the decorator version?",The flag-based version would actually be more type-safe than decorators,Nothing is lost — both approaches are equally extensible,The flag-based version supports unlimited add-ons while decorators cap out at two,"Every new add-on requires editing Espresso's own source code to add another flag and another line in cost()'s calculation — the decorator version lets you add a WhippedCreamDecorator as a brand-new class with zero changes to Espresso, MilkDecorator, or CaramelDecorator",,4,"Same OCP violation seen with Simple Factory's if-else — every extension forces an edit to existing source, unlike the additive decorator approach.",1
"If CaramelDecorator needs to know the SIZE of the drink (small/medium/large) to charge a different caramel price, but Beverage.cost() takes no parameters at all, what real constraint does this expose about decorators?","A decorator can only use information available through the interface it implements (or fields it's given at construction) — if cost()'s signature carries no size information, the decorator can't magically know it unless the interface is widened or the decorator is given the size separately at construction",This is impossible to solve — decorators cannot use any external information beyond what they wrap,Beverage.cost() needs to be made static to fix this,"Decorators automatically have access to every field on whatever object they wrap, regardless of interface",,1,Same signature-carries-everything limitation seen with Observer's notifyUser(String) not knowing which channel sent it — the interface's shape bounds what a decorator can know.,1
"A text-formatting library has Text interface with String render(). PlainText implements Text just returns raw text. You want BoldDecorator and ItalicDecorator that wrap any Text and add markup. If you construct new BoldDecorator(new ItalicDecorator(new PlainText(""hello""))), and BoldDecorator.render() wraps its inner text.render() output in **...**, while ItalicDecorator.render() wraps its inner output in *...*, what's the final rendered string?","""hello"" unchanged, since decorators only affect cost()-style numeric methods, not strings","The correct trace is: PlainText.render() returns ""hello"", ItalicDecorator wraps it to ""*hello*"", then BoldDecorator wraps that to ""**"" + ""*hello*"" + ""**"", producing ""***hello***""","""*hello*"" only — BoldDecorator is ignored since ItalicDecorator already returned a value",The program throws a runtime exception since two decorators can't wrap the same string twice,,2,Decorators work identically whether the return type is a number or a string — each layer wraps whatever the inner call produced.,1
