questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What does inheritance allow in OOP?,A class to acquire properties and behaviors of another class,A class to run multiple threads,A class to encrypt its data,A class to remove properties from another class,,1,Inheritance lets a subclass acquire (reuse) the fields and methods of a superclass.,1
Which keyword is used to implement inheritance between two classes in Java?,super,extends,inherits,implements,,2,The extends keyword is used for class inheritance in Java.,1
What relationship does inheritance model?,IS-A,HAS-A,PART-OF,USES-A,,1,"Inheritance models an IS-A relationship, e.g., a Car IS-A Vehicle.",1
How many classes can a single Java class directly extend?,Any number,Exactly two,Zero,Only one,,4,Java supports single inheritance for classes; a class can extend only one direct superclass.,1
How does Java achieve multiple inheritance of type?,It's not possible at all,Through constructors,Through interfaces,Through multiple extends,,3,"Java allows a class to implement multiple interfaces, achieving multiple inheritance of type (not implementation).",1
What is the primary use of the super keyword?,To create a new object,To declare a constant,To stop inheritance,To refer to the immediate parent class,,4,super refers to the immediate parent class and is used to access its members or constructor.,1
What does super() do when called inside a subclass constructor?,Calls the subclass's own constructor,Calls the parent class constructor,Deletes the parent object,Declares a static block,,2,super() invokes the constructor of the immediate superclass.,1
"If a subclass constructor doesn't explicitly call super() or this(), what happens?",The object is created without calling any constructor,The compiler inserts an implicit no-arg super() call,Compilation fails always,The JVM throws a runtime exception,,2,The compiler automatically inserts a call to the superclass's no-argument constructor if none is specified.,1
In which order are constructors executed in an inheritance chain?,"Parent constructor first, then child",Both run simultaneously,"Child constructor first, then parent",Order is undefined,,1,The parent class constructor always completes before the child class constructor body executes.,1
Can constructors be inherited by a subclass?,Only if marked public,Only static constructors are inherited,"No, constructors are not inherited","Yes, always",,3,"Constructors are never inherited; each class defines its own, though it may call the parent's via super().",1
What is method overriding?,Making a method private,Declaring a method as final,Defining multiple methods with the same name but different parameters,Redefining a parent class method in the subclass with the same signature,,4,"Overriding means a subclass provides a specific implementation for a method already defined in its superclass, with the same signature.",1
What is the key difference between overriding and overloading?,Overriding involves the same signature across parent/child; overloading involves different parameter lists within the same class,There is no difference,Overriding changes return type only; overloading changes method name,Overloading only works with inheritance; overriding does not,,1,Overriding is runtime polymorphism between super/subclass with identical signatures; overloading is compile-time polymorphism within the same class using different parameter lists.,1
What does the @Override annotation do?,Forces the method to become private,Automatically generates a constructor,Prevents the subclass from being instantiated,Tells the compiler to verify the method actually overrides a superclass method,,4,"@Override is a compile-time check ensuring the annotated method correctly overrides a superclass method, catching typos or signature mismatches.",1
"When overriding a method, can the subclass reduce its access modifier (e.g., public to private)?","Yes, but only for static methods",Only allowed in abstract classes,"Yes, always allowed","No, the access level can only stay the same or become more permissive",,4,Java disallows narrowing visibility during overriding to preserve the superclass's contract (Liskov substitution).,1
What happens if you mark a method as final in a superclass?,It cannot be overridden by any subclass,It becomes abstract,It can only be called once,It is automatically inherited as private,,1,A final method cannot be overridden in any subclass.,1
What happens if you mark a class as final?,The class cannot be extended/inherited,The class cannot have any methods,The class becomes abstract,The class cannot be instantiated,,1,A final class cannot be subclassed at all.,1
Are private members of a superclass inherited (accessible) by a subclass?,"No, they are deleted from the object","Yes, fully accessible directly",They exist in the object but are not directly accessible by name in the subclass,Only if the subclass is in the same file,,3,"Private members are part of the object's memory layout but can't be accessed directly by the subclass, only via public/protected getters or methods.",1
What is method hiding in the context of static methods?,When a method is made private in the subclass,"When a subclass defines a static method with the same signature as a static method in the superclass, it hides rather than overrides it",When a static method is deleted at runtime,When an abstract method is hidden from documentation,,2,"Static methods are resolved at compile time based on reference type, so redefining them in a subclass hides (not overrides) the parent's version.",1
Which of the following can be truly overridden in Java?,Instance methods,Static methods,Final methods,Private methods,,1,"Only instance (non-static, non-final, non-private) methods can be truly overridden; static methods are hidden, private methods aren't inherited, final methods can't be overridden.",1
What is the root class of every class hierarchy in Java?,Object,Super,Main,Class,,1,Every class in Java implicitly extends java.lang.Object if no other superclass is specified.,1
What does the instanceof operator check?,Whether a class is final,Whether a variable is static,Whether a method is overridden,Whether an object is an instance of a specific class or subclass,,4,"instanceof tests if an object is an instance of a given class, subclass, or implementing class of an interface.",1
What is upcasting in inheritance?,Assigning a subclass object reference to a superclass type variable,Converting a String to an int,Casting a static method to an instance method,Assigning a superclass object to a subclass variable directly,,1,"Upcasting refers to treating a subclass instance as its superclass type, e.g., Animal a = new Dog(); which is always safe.",1
What is downcasting?,Automatically converting int to double,"Casting a superclass reference back to a subclass type, which may require an explicit cast and can throw ClassCastException",Removing inheritance at runtime,Casting a subclass to superclass implicitly,,2,"Downcasting converts a superclass reference to a subclass type explicitly, and is unsafe unless the actual object really is of that subclass.",1
Can an abstract class be instantiated directly?,Only in unit tests,"Yes, but only with a static factory",No,"Yes, always",,3,Abstract classes cannot be instantiated; they exist to be extended by concrete subclasses.,1
