questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"`public abstract class BeverageMaker { public void boilWater(){ System.out.println(""Boiling water""); } public abstract void brew(); public void pourInACup(){ System.out.println(""Pouring in a cup""); } public abstract void addCondiments(); public void makeBeverage(){ boilWater(); brew(); pourInACup(); addCondiments(); } }`. Which method is the actual ""Template Method"" here?",boilWater(),makeBeverage(),brew(),addCondiments(),,2,"makeBeverage() defines the fixed algorithm skeleton/sequence; the rest are individual steps -- some fixed (boilWater, pourInACup), some deferred to subclasses (brew, addCondiments).",1
"In the same BeverageMaker class, which methods are steps subclasses are required to fill in, versus fixed for every beverage?",All four methods must be overridden by every subclass,boilWater() and pourInACup() must be overridden; brew() and addCondiments() are fixed,None of the methods can be overridden anywhere,"brew() and addCondiments() are abstract and must be implemented by every subclass; boilWater() and pourInACup() are concrete, fixed steps identical for every beverage",,4,brew() and addCondiments() have no default implementation and must be supplied by each subclass; boilWater() and pourInACup() are already complete and behave the same for every beverage.,1
"`class CoffeeMaker extends BeverageMaker { public void brew(){ System.out.println(""Coffee""); } public void addCondiments(){ System.out.println(""adding sugar to my coffee""); } } BeverageMaker coffee = new CoffeeMaker(); coffee.makeBeverage();`. Exact order of console output?","Boiling water, Coffee, Pouring in a cup, adding sugar to my coffee","Coffee, Boiling water, adding sugar to my coffee, Pouring in a cup","Boiling water, Pouring in a cup, Coffee, adding sugar to my coffee","adding sugar to my coffee, Coffee, Boiling water, Pouring in a cup",,1,"This is a direct readout of makeBeverage()'s fixed sequence: boilWater, brew, pourInACup, addCondiments.",1
"`public abstract class PaymentProcessor { public abstract IPayment createPayment(); private void validate(double amount){ if(amount <= 0) throw new IllegalArgumentException(""Amount must be a positive number""); } private void logTransaction(double amount){ System.out.println(""this amount was transacted "" + amount); } public boolean requiresOTPVerification(){ return true; } private boolean verifyOTP(){ return true; } public void processOrder(double amount){ validate(amount); if(requiresOTPVerification()){ boolean otpOK = verifyOTP(); if(!otpOK){ System.out.println(""OTP verification failed""); return; } } IPayment payment = createPayment(); payment.pay(amount); logTransaction(amount); } }`. validate(), logTransaction(), and verifyOTP() are all private. Yet processOrder() calls all three successfully for every subclass. Why does this work?",Private methods are secretly treated as public by the JVM at runtime,"processOrder() is actually generated separately for every subclass, with its own private copies","Private access only restricts visibility to code outside the class -- it says nothing about one private method calling another within the same class; since processOrder() lives inside PaymentProcessor itself, it can call validate(), logTransaction(), and verifyOTP() freely regardless of which subclass the actual object is","validate(), logTransaction(), and verifyOTP() are implicitly converted to protected the moment a subclass exists",,3,"Privacy is a visibility boundary around the class, not a restriction on the class's own internal calls. processOrder() and the private helpers all belong to PaymentProcessor, so they can call each other freely.",1
"Can CardPaymentProcessor call validate(amount) directly, or override it to add a card-specific minimum-amount rule?",Yes to both -- validate() is inherited like any other method,"No to both -- private members are not inherited or visible to subclasses at all; CardPaymentProcessor can't call validate() directly, and writing a method named validate(double amount) in CardPaymentProcessor wouldn't override anything -- it'd just be an unrelated new method","It can call it, but not override it","It can override it, but not call it directly",,2,"Private members are invisible to subclasses entirely -- no calling, and no overriding, just an unrelated same-named method if you try.",1
"Someone, confused, writes this inside CardPaymentProcessor: `public class CardPaymentProcessor extends PaymentProcessor { private void validate(double amount){ if(amount < 10) throw new IllegalArgumentException(""Card payments need at least 10""); } public IPayment createPayment(){ return new CardPayment(); } }`. What actually happens when processOrder() runs on this object?",Compile error -- you can't redeclare a private method from the parent,CardPaymentProcessor's new validate() silently replaces the parent's for this instance,Java merges both validate() methods and runs whichever throws first,"Nothing changes -- processOrder() (defined in PaymentProcessor) still calls PaymentProcessor's own private validate(), completely unaware CardPaymentProcessor has an unrelated private method with the same name. This is method hiding, not overriding -- a classic private-method trap",,4,"Since validate() is private, PaymentProcessor's processOrder() always calls PaymentProcessor's own validate(). CardPaymentProcessor's method of the same name is just a separate, unrelated method that happens to share a name.",1
"In the actual code, processOrder() is not marked final. What real risk does that create?","A subclass could override processOrder() entirely -- skip validate(), reorder the OTP check, drop logTransaction() -- completely defeating the point of having a fixed recipe","No risk at all, since processOrder() only calls private methods",The code won't compile until processOrder() is marked final,"final only applies to fields, not methods, so this is a non-issue",,1,"Without final, any subclass can override the template method itself and rewrite or skip the fixed sequence, which defeats the entire purpose of the pattern.",1
What's the correct fix to guarantee no subclass can ever change the sequence in processOrder()?,Mark PaymentProcessor itself final,Make processOrder() private,"Declare it public final void processOrder(double amount) { ... } -- still callable by clients, but impossible for any subclass to override",Remove processOrder() from PaymentProcessor and copy it into every subclass,,3,public final keeps the method usable by client code while locking its implementation against being overridden -- this is exactly how you take the 'rule' away from the child and give it to the parent.,1
"requiresOTPVerification() is public, returns true by default, and is not abstract. What's this called in Template Method terms, and how does it differ from createPayment()?",It is an abstract method just like createPayment() -- identical role,"It is a hook method -- it has a default implementation, and subclasses may optionally override it to influence the template's behavior; createPayment() is a required abstract step every subclass must implement, with no default",It is a constructor,It is a private helper unrelated to the algorithm,,2,Hooks provide a sensible default and are optionally overridden; abstract steps provide no default and must be implemented by every subclass.,1
"`public class CashPaymentProcessor extends PaymentProcessor { public IPayment createPayment(){ return new CashPayment(); } @Override public boolean requiresOTPVerification(){ return false; } }`. When new CashPaymentProcessor().processOrder(500.0) runs, what's different compared to CardPaymentProcessor?",processOrder() runs a completely different method body for CashPaymentProcessor,validate() is skipped for cash payments,logTransaction() is skipped for cash payments,"The if(requiresOTPVerification()) check evaluates false, so the whole OTP block is skipped -- everything else (createPayment(), pay(), logTransaction()) runs exactly as normal",,4,Overriding the hook only affects the one conditional branch it controls; every other fixed step in processOrder() runs unchanged.,1
"A new NetBankingPaymentProcessor needs to be added. Following this codebase's pattern, what's the minimum required?","Create NetBankingPayment implements IPayment with its own pay(), then NetBankingPaymentProcessor extends PaymentProcessor implementing createPayment() to return it -- nothing in PaymentProcessor needs to change",Add a new else if branch inside processOrder() for net banking,Modify IPayment to add a payViaNetBanking() method,"Rewrite PaymentProcessor from scratch, since a new payment type is fundamentally different",,1,OCP applies to Template Method just as it does to Strategy -- a new subclass implementing the existing abstract step is purely additive.,1
createPayment() is abstract and returns an IPayment that the rest of processOrder() then calls .pay() on. What does this detail reveal about the design?,This is pure Template Method with no other pattern involved,IPayment makes this a Singleton Pattern,createPayment() acts as a Factory Method -- a well-known variant where the subclass-filled step specifically creates an object -- nested inside the larger Template Method (processOrder()); patterns get combined like this constantly in real code,This turns the whole design into the Strategy Pattern instead,,3,"The abstract 'step' here is specifically an object-creation step, which is exactly the Factory Method pattern, used as one ingredient inside the larger Template Method.",1
Both Template Method and Strategy Pattern let you vary one piece of behavior while keeping the rest fixed. What's the actual mechanical difference?,"No real difference -- same pattern, different names",Template Method varies behavior through inheritance -- which steps run is locked in the moment you pick a concrete subclass and can't change without creating a different object; Strategy varies behavior through composition -- an injected object can be swapped via a setter on the same instance at runtime,Strategy always requires abstract classes; Template Method always requires interfaces,Template Method can only ever have one subclass; Strategy allows unlimited implementations,,2,"Template Method fixes behavior at the class-hierarchy level (compile time, per subclass); Strategy fixes behavior at the object-composition level (swappable at runtime).",1
"You want to add an optional addIce() step to BeverageMaker for cold drinks, but CoffeeMaker and TeaMaker don't need it at all. What's the correct approach so they need zero changes?","Make addIce() abstract, forcing CoffeeMaker/TeaMaker to implement an empty version anyway","Add an if (beverageType.equals(""cold"")) check inside makeBeverage()",Delete addIce() entirely since not everyone needs it,"Give addIce() a default no-op body in BeverageMaker (a hook, same idea as requiresOTPVerification()), call it from makeBeverage(), and only override it in the specific subclasses (e.g. IcedCoffeeMaker) that need it",,4,"A no-op default hook lets only the subclasses that care override it, while every existing subclass is completely unaffected.",1
You want CardPaymentProcessor to enforce a ten rupee minimum while CashPaymentProcessor allows any positive amount -- without making validate() itself overridable. Clean way to do this?,"Keep validate() as the fixed private step, but have it call a new overridable hook like protected double minimumAmount() { return 0; } for the threshold; CardPaymentProcessor overrides just minimumAmount() to return 10, while validate()'s enforcement logic itself stays untouched and un-overridable",Make validate() public and let every subclass override it entirely,Remove validate() from the template and call it manually inside each subclass's createPayment(),Hardcode if (this instanceof CardPaymentProcessor) inside validate(),,1,"This isolates exactly the one varying number (the threshold) behind a small hook, while the actual enforcement logic (throwing when amount is below the threshold) stays fixed and safe inside validate().",1
"`public abstract class BeverageMaker { public abstract void brew(); } public class CoffeeMaker extends BeverageMaker { private void brew(){ System.out.println(""Coffee""); } }`. What's wrong with this?","Nothing, this compiles and works exactly like the original",brew() needs a return type of void[],"Compile error -- Java doesn't allow overriding a method with a more restrictive access modifier; brew()'s contract in the parent requires at least public visibility, so dropping it to private in the override is illegal",abstract methods can never be overridden at all,,3,Java forbids narrowing visibility when overriding -- an override must be at least as accessible as the method it overrides.,1
"Why might a fixed step like logTransaction() be declared protected final instead of private, if you still never want it overridden?",protected final and private behave identically in Java,"protected final lets subclasses (or others in the hierarchy) call the method directly if genuinely needed, while final still guarantees no subclass can ever override or change its behavior -- controlled visibility without giving up control of the logic",protected final methods are automatically treated as abstract,"protected methods can be overridden but private ones can't, so this makes no sense as a choice",,2,protected final is the combination that grants visibility to the hierarchy while still locking the implementation against being changed.,1
"`public class TeaMaker extends BeverageMaker { @Override public void makeBeverage(){ brew(); addCondiments(); } public void brew(){ System.out.println(""tea""); } public void addCondiments(){ System.out.println(""adding lemon to my tea""); } }`. Assuming makeBeverage() is NOT marked final in BeverageMaker, is this valid, and what does it mean for the pattern?",Invalid -- Java doesn't allow overriding a concrete method,Invalid -- brew()/addCondiments() can't be called from an overridden makeBeverage(),"Valid, and this is the intended way to customize behavior in Template Method","Valid Java, but it defeats the whole purpose -- TeaMaker has escaped the fixed recipe that was supposed to belong to the parent, exactly the failure final exists to prevent",,4,"Without final, nothing stops a subclass from replacing the entire template method and skipping steps -- which is exactly what happened here (boilWater and pourInACup got dropped).",1
"Four subclasses (C1, C2, C3, C4) share steps f1(), f2(), f3() from a common parent. C1/C2/C3 are all fine running them in the same fixed order (say f3 then f1 then f2), but C4 genuinely needs a fundamentally different order for its business logic. Correct approach?","Define a second template method (e.g. process2()) in the parent (or a related abstract class) with C4's required order, and have C4 use that one instead of trying to break the first template method's final lock",Remove final from the first template method so C4 can override and reorder it freely,Force C4 to somehow work with the same order even though its logic doesn't support it,Duplicate all of f1/f2/f3's logic directly inside C4 instead of extending the parent at all,,1,"One final template method per fixed recipe -- a genuinely different recipe gets its own template method, not a broken lock on the first one.",1
"You need CardPaymentProcessor (and only CardPaymentProcessor) to run a fraud-risk check before validate() even runs, without touching processOrder()'s existing behavior for every other processor. Cleanest fix?",Copy processOrder() into CardPaymentProcessor and add the fraud check at the top,Make validate() protected instead of private so CardPaymentProcessor can wrap it,"Add a new hook to PaymentProcessor, e.g. protected void beforeProcessing(double amount) {} with an empty default body, call it as the very first line of processOrder(), and override it only in CardPaymentProcessor -- every other subclass is unaffected since the default does nothing",Add an if (this instanceof CardPaymentProcessor) check inside processOrder(),,3,"Before/after hooks bracketing the fixed algorithm are a standard Template Method extension -- empty-by-default, overridden only where actually needed.",1
"You want CashPaymentProcessor's OTP requirement to depend on the amount -- skip OTP under 500, require it above. Can a hook method take parameters like requiresOTPVerification(double amount)?","No, hooks must always be parameterless like the current requiresOTPVerification()","Yes -- a hook is just a regular method with a default implementation; protected boolean requiresOTPVerification(double amount) { return true; }, called as requiresOTPVerification(amount) from processOrder(), is perfectly valid and lets CashPaymentProcessor make an amount-dependent decision","No, because processOrder() cannot pass its local variables into any method it calls","Yes, but only if the hook is also marked abstract",,2,"A hook is just a method with a default body -- it can take parameters exactly like any other method, and the template method decides what to pass in.",1
"A developer ""optimizes"" PaymentProcessor by caching the OTP result in a field instead of a local variable: `public abstract class PaymentProcessor { private boolean otpOK; public void processOrder(double amount){ validate(amount); if(requiresOTPVerification()){ otpOK = verifyOTP(); if(!otpOK){ return; } } IPayment payment = createPayment(); payment.pay(amount); logTransaction(amount); } }`. Why is this riskier than keeping otpOK as a local variable?",It isn't riskier -- fields and locals behave identically here,It would cause a compile error since abstract classes can't have fields,It changes processOrder()'s return type,"If the same PaymentProcessor instance is ever reused for multiple orders concurrently (shared across threads, or re-entered), one call's otpOK could be overwritten by another call in progress, corrupting both -- a local variable is scoped to a single invocation and can't leak across calls the way a field can",,4,"Instance fields persist and are shared across every call on that instance; a local variable is private to each individual method invocation, which is what you want for per-call intermediate state.",1
PaymentProcessor gains a second template method for refunds: `public final void refundOrder(double amount){ validate(amount); IPayment payment = createPayment(); logTransaction(amount); }`. Can refundOrder() reuse the exact same private validate() and logTransaction() that processOrder() already uses?,"Yes -- both template methods live in the same class as those private helpers, so both can call them freely, avoiding duplicated validation/logging logic","No, each template method needs its own separate private helpers","No, a private method can only ever be called from one calling method in its class","Yes, but only if both template methods are marked final",,1,Private just means 'only this class can call it' -- it doesn't restrict how many methods within that same class are allowed to call it.,1
createPayment() is currently abstract. A teammate proposes giving it a default instead: `public IPayment createPayment(){ return new CashPayment(); }` so subclasses can optionally skip overriding it. What's the trade-off?,"No trade-off, strict improvement","Compile error, since PaymentProcessor is abstract","Flexibility goes up (a subclass forgetting to override it won't fail to compile), but correctness safety goes down -- a subclass that genuinely needs its own payment type could silently fall back to cash processing with no compiler warning; the abstract version forces a deliberate, explicit choice",This makes createPayment() a hook that must always be overridden,,3,"Turning a required step into a hook trades a compile-time safety net for convenience -- a real design trade-off, not a free win.",1
"Every current and planned PaymentProcessor subclass needs to reject any amount over a hard system-wide cap of one lakh rupees -- this exists purely to catch data-entry typos like an extra zero, and there is no case where any subclass would want a different cap. What's the right way to add this check?",Add a new hook like protected double maxAllowedAmount() { return 100000; } that every subclass could theoretically override,"Add the cap check directly inside the existing fixed, private validate() -- since every subclass needs identical behavior with zero variation, there's nothing to make overridable; adding a hook here would just be unnecessary indirection",Make validate() abstract so every subclass implements its own cap check,"Add the check inside createPayment() instead, since that's already abstract",,2,"Same discipline as the OCP/ISP 'don't abstract what never varies' lesson -- hooks exist for genuine per-subclass variation, not to decorate logic everyone needs identically.",1
PaymentProcessor now has two independent hooks: requiresOTPVerification() (default true) and a new requiresFraudCheck() (default true). CashPaymentProcessor overrides only requiresOTPVerification() to return false. A new TrustedPartnerProcessor overrides only requiresFraudCheck() to return false. Do these hooks interfere with each other?,"Yes, overriding one automatically overrides the other since they're in the same class","No, because only one hook can be active per subclass","Yes, CashPaymentProcessor would also skip fraud checks as a side effect","No -- each hook independently gates its own section of processOrder(); CashPaymentProcessor still runs the fraud check (default true), TrustedPartnerProcessor still runs OTP verification (default true) -- they compose without either needing to know the other exists",,4,"Independent hooks are exactly that -- independent. Each one only controls the branch it's checked in, regardless of what other hooks exist.",1
Both CardPaymentProcessor and UPIPaymentProcessor need OTP verification enabled -- exactly the default. Should either override requiresOTPVerification()?,"No -- the parent's default (return true;) already matches what both want, so there's nothing to override; only CashPaymentProcessor, which genuinely differs, should override it","Yes, every subclass should explicitly override every hook for clarity, even to repeat the default","Yes, otherwise requiresOTPVerification() would return false for them by default","No, because a hook can only ever be overridden by exactly one subclass in the whole hierarchy",,1,Overriding a hook just to repeat the default is pure duplication -- only override where behavior actually needs to differ.,1
