questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Real code:

public class MyThread extends Thread {

    void logic() {
        System.out.println(Thread.currentThread().getName());
        System.out.println(""Task running"");
    }

    @Override
    public void run() {
        logic();
    }
}

// Main
System.out.println(Thread.currentThread().getName() + "" start"");

MyThread t1 = new MyThread();
MyThread t2 = new MyThread();

System.out.println(Thread.currentThread().getName() + "" 2 threads created before calling the start method"");

t1.start();
t2.start();

System.out.println(Thread.currentThread().getName() + "" after calling the start method on both of them"");
System.out.println(""Mainak Ghosh"");

What name does the FIRST line print, and what names do the two threads print from inside logic()?","All of them print main, because logic() is defined in the same file","The first line prints main. The two threads print Thread-0 and Thread-1, because currentThread() inside run() is the thread executing it, not main","The first line prints Thread-0, and the threads print main twice","All three print Thread-0, because they share the same MyThread class",,2,"currentThread() always reports whoever is executing that line. Default names are Thread-0, Thread-1 and so on, which is why passing a name into the constructor makes output far easier to read.",2
"Real code:

public class MyThread extends Thread {

    void logic() {
        System.out.println(Thread.currentThread().getName());
        System.out.println(""Task running"");
    }

    @Override
    public void run() {
        logic();
    }
}

// Main
System.out.println(Thread.currentThread().getName() + "" start"");

MyThread t1 = new MyThread();
MyThread t2 = new MyThread();

System.out.println(Thread.currentThread().getName() + "" 2 threads created before calling the start method"");

t1.start();
t2.start();

System.out.println(Thread.currentThread().getName() + "" after calling the start method on both of them"");
System.out.println(""Mainak Ghosh"");

Which parts of the output order are GUARANTEED? (select all that apply)",main start is printed before the 2 threads created line,The 2 threads created line is printed before either thread's output,t1's output always appears before t2's output,Mainak Ghosh is always the very last line of the whole program,The after calling the start method line is printed after the 2 threads created line,"1,2,5","Everything main prints keeps its own order, and anything printed before start() must come before the threads run. But t1 versus t2 order is up to the scheduler, and main can easily finish its last lines while the two threads are still printing.",2
"Real code:

public class MyThread extends Thread {

    void logic() {
        System.out.println(Thread.currentThread().getName());
        System.out.println(""Task running"");
    }

    @Override
    public void run() {
        logic();
    }
}

Instead of t1.start(), someone writes t1.run(). What name gets printed by logic()?","Thread-0, because t1 is a Thread object","main - calling run() directly is an ordinary method call, so it executes on the current thread and no new thread is created at all","Nothing is printed, because run() must be called by start()",It throws IllegalThreadStateException,,2,The single most common threading mistake. start() asks the JVM for a new thread and that thread then calls run(). Calling run() yourself skips all of that.,1
"Real code:

// Main
System.out.println(Thread.currentThread().getName() + "" start"");

MyThread t1 = new MyThread();
MyThread t2 = new MyThread();

System.out.println(Thread.currentThread().getName() + "" 2 threads created before calling the start method"");

t1.start();
t2.start();

System.out.println(Thread.currentThread().getName() + "" after calling the start method on both of them"");
System.out.println(""Mainak Ghosh"");

A second t1.start() is added right after the first one. What happens?",The task simply runs a second time on a new thread,"IllegalThreadStateException is thrown - a thread object cannot be started twice, even after it has finished",It is silently ignored,It restarts the same thread from the beginning,,2,"Once a thread has been started its object is used up. To run the same task again you need a new Thread object, which is much easier when the task is a Runnable that can be handed to a fresh Thread.",1
"Real code:

public class MyTask implements Runnable {

    @Override
    public void run() {
        System.out.println(Thread.currentThread().getName() + "" Task running"");
        for (int i = 0; i < 5; i++) {
            System.out.println(Thread.currentThread().getName() + "" "" + i);
        }
        try {
            Thread.sleep(3000);
        } catch (InterruptedException e) {
            throw new RuntimeException(e);
        }
        System.out.println(Thread.currentThread().getName() + "" Task finished"");
    }
}

Two threads both run this same MyTask instance. Can one thread's numbered lines appear in the middle of the other thread's numbered lines?",No - the loop runs to completion before the other thread gets a turn,"Yes. Nothing coordinates the two threads, so their println calls can interleave in any order, for example worker-1 0, worker-2 0, worker-1 1","No, because both threads share one MyTask object",Only if the loop count is above 1000,,2,"There is no lock and no join here, so the scheduler can switch between them at any point. Each individual line prints intact, but the lines from the two threads can be mixed together.",2
"Real code:

public class Fibonacci implements Runnable {

    private int n;

    public Fibonacci(int n) {
        this.n = n;
    }

    private int getNthfib(int n) {
        if (n == 1 || n == 2) {
            return 1;
        }
        return getNthfib(n - 1) + getNthfib(n - 2);
    }

    @Override
    public void run() {
        System.out.println(getNthfib(n));
    }
}

// Main
int[] numbers = {6, 7, 8, 9};

for (int n : numbers) {
    Fibonacci task = new Fibonacci(n);
    Thread t = new Thread(task);
    t.start();
}

Which four numbers get printed? (getNthfib treats n=1 and n=2 as 1)","6, 7, 8, 9","8, 13, 21, 34","5, 8, 13, 21","1, 1, 2, 3",,2,"The sequence is 1 1 2 3 5 8 13 21 34, so the 6th to 9th values are 8, 13, 21 and 34.",1
"Real code:

public class Fibonacci implements Runnable {

    private int n;

    public Fibonacci(int n) {
        this.n = n;
    }

    private int getNthfib(int n) {
        if (n == 1 || n == 2) {
            return 1;
        }
        return getNthfib(n - 1) + getNthfib(n - 2);
    }

    @Override
    public void run() {
        System.out.println(getNthfib(n));
    }
}

// Main
int[] numbers = {6, 7, 8, 9};

for (int n : numbers) {
    Fibonacci task = new Fibonacci(n);
    Thread t = new Thread(task);
    t.start();
}

Are those four numbers guaranteed to print in the order 8, 13, 21, 34?","Yes - the loop starts the threads in that order, so they print in that order","No. Starting in order does not mean finishing in order; four separate threads print whenever they finish, so any order is possible","Yes, because each Fibonacci object holds a different n","No, and in fact they always print in reverse order",,2,"In practice the smaller numbers usually appear first because they finish sooner, but nothing guarantees it. Reliable ordering needs join() or collecting the results instead of printing from inside run().",2
"Real code:

// Main
int[] numbers = {6, 7, 8, 9};

for (int n : numbers) {
    Fibonacci task = new Fibonacci(n);
    Thread t = new Thread(task);
    t.start();
}

The loop never calls join(), so main reaches the end of its own code almost immediately. Do the four numbers still get printed?",No - when main ends the JVM stops and the threads are killed,"Yes. These are ordinary (non-daemon) threads, and the JVM keeps running until they all finish, so main ending early does not stop them",Only the first number is printed,"No, the program throws an exception when main ends with threads running",,2,"main is just one thread among several. The JVM shuts down once all ordinary threads are done, not when main happens to finish.",2
"Real code:

public class MyTask implements Runnable {

    @Override
    public void run() {
        try {
            Thread.sleep(3000);
        } catch (InterruptedException e) {
            System.out.println(""error..."");
        }
    }
}

public class Waiter implements Runnable {

    private Thread threadToWaitFor;

    public Waiter(Thread threadToWaitFor) {
        this.threadToWaitFor = threadToWaitFor;
    }

    @Override
    public void run() {
        try {
            System.out.println(""start waiting "");
            threadToWaitFor.join();
            System.out.println(""enough waiting"");
        } catch (InterruptedException e) {
            System.out.println(""error..."");
        }
    }
}

// Main - demo 2
Thread t2 = new Thread(r1, ""sleepy_thread"");   // MyTask sleeps 3000 ms

Runnable r2 = new Waiter(t2);
Thread t3 = new Thread(r2, ""waiter"");

t2.start();
t3.start();

Thread.sleep(100);
System.out.println(t3.getState());

MyTask sleeps 3000 ms. Give the printed output of demo 2 and the rough timing of each line.","start waiting immediately, then enough waiting immediately after","start waiting almost immediately, then a pause of about 3 seconds while t2 sleeps, then enough waiting once t2 has finished","enough waiting first, then start waiting",Only start waiting is printed - enough waiting never runs,,2,"The Waiter prints, then blocks inside t2.join() until t2's 3 second sleep is over, then prints again. The gap between the two lines IS the join.",2
"Real code:

// Main - demo 3
Counter c1 = new Counter();

Runnable countRunner = new CounterRunnable(c1);   // both threads share ONE counter
Thread p1 = new Thread(countRunner, ""person1"");
Thread p2 = new Thread(countRunner, ""person 2"");

p1.start();

Thread.sleep(100);
p2.start();

System.out.println(p1.getState());
System.out.println(p2.getState());

p1.join();
p2.join();

System.out.println(c1.getCount());

In demo 3, which line of output can only be produced after BOTH threads have completely finished, and why?","System.out.println(p1.getState()), because a state can only be read at the end","System.out.println(c1.getCount()), because it comes after p1.join() and p2.join(), which each block until that thread is done","System.out.println(p2.getState()), because p2 started last",None - all of the lines can print at any time,,2,The two join() calls are what make the final count trustworthy. Without them main could print the count while the threads were still incrementing.,2
