questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"`class VendingMachine { enum State { NO_COIN, HAS_COIN, DISPENSING, SOLD_OUT } private State state = State.NO_COIN; void insertCoin(){ if(state == State.NO_COIN){ System.out.println(""Coin accepted""); state = State.HAS_COIN; } else if(state == State.HAS_COIN){ System.out.println(""Coin already inserted""); } else if(state == State.SOLD_OUT){ System.out.println(""Machine is sold out, coin rejected""); } else if(state == State.DISPENSING){ System.out.println(""Please wait, dispensing in progress""); } } }` -- selectItem() and dispense() would each repeat a similar chain. What's the core structural problem this demonstrates?","Every method (insertCoin(), and presumably selectItem(), dispense()) has to independently re-check the same state field with its own full if-else chain, so the total number of branches grows with (number of states) times (number of actions), and every new state requires editing every existing method",The enum State should be replaced with a String to fix this,This code will not compile since enums cannot be compared with ==,The problem is that insertCoin() is a void method instead of returning a boolean,,1,"Same anti-pattern as the MediaPlayer example, now in vending-machine form -- branches multiply across states times actions.",1
`interface VendingState { void insertCoin(VendingMachine machine); void selectItem(VendingMachine machine); void dispense(VendingMachine machine); } class VendingMachine { private VendingState state = new NoCoinState(); void setState(VendingState state){ this.state = state; } void insertCoin(){ state.insertCoin(this); } void selectItem(){ state.selectItem(this); } void dispense(){ state.dispense(this); } }`. Which class is the Context and which represents the State abstraction?,VendingMachine is a concrete state; VendingState is the context,Both VendingMachine and VendingState are contexts,"VendingMachine is the Context -- it holds the current state reference and forwards every action to it; VendingState is the shared contract every concrete state (NoCoinState, HasCoinState, etc.) must implement",VendingMachine is the abstraction; VendingState is a concrete implementation of it,,3,VendingMachine owns the reference and delegates; VendingState is the interface every concrete condition implements.,1
"`interface AtmState { void insertCard(Atm atm); void enterPin(Atm atm); void ejectCard(Atm atm); } class IdleState implements AtmState { public void insertCard(Atm atm){ System.out.println(""Card accepted""); atm.setState(new CardInsertedState()); } public void enterPin(Atm atm){ System.out.println(""Insert a card first""); } public void ejectCard(Atm atm){ System.out.println(""No card to eject""); } } class CardInsertedState implements AtmState { public void insertCard(Atm atm){ System.out.println(""Card already inserted""); } public void enterPin(Atm atm){ System.out.println(""PIN verified""); atm.setState(new AuthenticatedState()); } public void ejectCard(Atm atm){ System.out.println(""Ejecting card""); atm.setState(new IdleState()); } }`. Atm starts in IdleState. This sequence runs: atm.insertCard(); atm.ejectCard(); atm.enterPin();. What prints for the third call?","""PIN verified""","""Insert a card first"" -- after ejectCard() returned the ATM to IdleState, calling enterPin() now runs IdleState.enterPin(), not CardInsertedState.enterPin()","""Card already inserted""","Nothing prints, the program throws an exception",,2,"Tracing the transitions: insertCard moves Idle to CardInserted, ejectCard moves it back to Idle, so enterPin() runs on IdleState.",1
"You said: ""the classes themselves are affecting the context class, which was not happening in Strategy Pattern."" Is this accurate, and what's the precise mechanism?",Not accurate -- Strategy Pattern also lets concrete strategies swap themselves out on the context,"Not accurate -- in State Pattern, only the context itself is ever allowed to call setState(), concrete states never do","Accurate, but only because State Pattern uses abstract classes instead of interfaces","Accurate -- a concrete state's method (e.g. CardInsertedState.enterPin()) directly calls atm.setState(new AuthenticatedState()) as part of handling the action, so the currently active state decides and executes the transition itself; in Strategy Pattern, the injected strategy has no equivalent mechanism to swap itself out -- that decision stays with the external client calling setStrategy()",,4,"This confirms and precisely restates the exact distinction being worked out -- states self-transition, strategies do not.",1
"Beyond who performs the swap, what's the difference in when a swap happens between State and Strategy?","In State Pattern, a swap happens as an automatic, expected consequence of handling a normal action call -- every call to enterPin(), pressPlay(), etc. potentially changes which object is active next. In Strategy Pattern, a swap is a deliberate, separate act the client performs whenever it wants (calling setPaymentStrategy() is not a side effect of calling pay())","In State Pattern, swaps only happen once, at object creation, and never again","In Strategy Pattern, swaps happen automatically inside every method call, exactly like State",There is no timing difference between the two patterns,,1,"State transitions are baked into normal action handling; Strategy swaps are a separate, deliberate client decision.",1
"`interface SignalState { void next(TrafficLight light); } class RedState implements SignalState { public void next(TrafficLight light){ System.out.println(""Red -> Green""); light.setState(new GreenState()); } } class GreenState implements SignalState { public void next(TrafficLight light){ System.out.println(""Green -> Yellow""); light.setState(new YellowState()); } } class YellowState implements SignalState { public void next(TrafficLight light){ System.out.println(""Yellow -> Red""); light.setState(new RedState()); } } class TrafficLight { private SignalState state = new RedState(); void setState(SignalState state){ this.state = state; } void next(){ state.next(this); } }`. Who decides that Green is followed by Yellow, not straight back to Red?","TrafficLight decides, based on an if-else inside next()",The client calling light.next() decides each time by passing a parameter,"GreenState decides, entirely on its own -- its next() method is hardcoded to call light.setState(new YellowState()); TrafficLight has no idea what comes after Green, it just delegates to whichever SignalState is currently active",Java decides automatically based on enum ordinal order,,3,TrafficLight never contains sequencing logic -- each state hardcodes its own next transition.,1
"`interface OrderState { void ship(Order order); void cancel(Order order); } class CancelledState implements OrderState { public void ship(Order order){ System.out.println(""Cannot ship a cancelled order""); } public void cancel(Order order){ System.out.println(""Already cancelled""); } }`. order.ship() is called while in CancelledState. What happens, and is this the right way to handle it?",It throws a checked exception automatically since ship() was called on the wrong state,"It prints ""Cannot ship a cancelled order"" and does nothing else -- no state change, no exception thrown here; this is a valid way to handle an invalid action for a given state, though throwing an exception instead is also a legitimate choice depending on how strict the system needs to be",It silently ships the order anyway since ship() was called,The code fails to compile since CancelledState doesn't implement a ship() that changes state,,2,Not every action needs to cause a transition or throw -- handling it as a no-op with a message is a valid design choice.,1
"`interface OrderState { void pay(Order order); void cancel(Order order); } class PendingState implements OrderState { public void pay(Order order){ boolean success = tryPayment(); if(success){ System.out.println(""Payment successful""); order.setState(new PaidState()); } else { System.out.println(""Payment failed""); order.setState(new PaymentFailedState()); } } public void cancel(Order order){ System.out.println(""Order cancelled before payment""); order.setState(new CancelledState()); } }`. Adding PaymentFailedState here only required editing the body of one existing method, PendingState.pay(). Do PaidState and CancelledState need any changes at all for this new state to exist?","Yes, every existing state must add a new method to detect payment failure","Yes, the OrderState interface must gain a new method that PaidState and CancelledState both need to implement","No, but only because PaymentFailedState is declared as abstract","No -- PaidState and CancelledState are completely untouched; only PendingState.pay() needed one new branch inside it, since that's the only place the new state can be reached from. This is what actually makes adding a state cheap: a small, localized change to whichever one existing state's method decides to transition into it, not a change that ripples through every existing class",,4,"Adding a state is genuinely cheap only when it's reached from inside an already-existing action method -- here, PendingState.pay() already existed and just gained one more branch. If reaching a new state instead required a brand-new action/method that didn't exist before, that method would have to be added to the interface, and every existing state class would be forced to implement it too -- exactly as expensive as adding a new action.",1
"The same Document system needs a brand-new action, void requestChanges(Document doc), callable from InReviewState (sends it back to Draft) but meaningless in every other state. What's required to add this?","Add requestChanges() to the DocumentState interface, add a matching delegating method to Document (the context), and implement requestChanges() in EVERY existing concrete state class (DraftState, InReviewState, PublishedState, RejectedState) -- even the ones where it just prints ""not applicable"" -- because the interface now requires it everywhere","Only InReviewState needs to implement the new method, since that is the only state where it makes sense","Nothing needs to change in the existing state classes, only in Document",This can be added without touching the DocumentState interface at all,,1,"A genuinely new action must be added to the interface, which forces every implementer to provide it -- this is the expensive direction, contrasted with Q8's localized change.",1
"`interface ElevatorState { void requestFloor(Elevator elevator, int floor); void doorOpen(Elevator elevator); }`. When client code calls elevator.requestFloor(5), what's the actual sequence?",elevator directly moves to floor 5 without consulting any state object,The client must first check elevator.getState() and manually call the right method on it,"requestFloor(5) internally calls state.requestFloor(elevator, 5) on whichever ElevatorState is currently held; that state's implementation decides what actually happens and may call elevator.setState(...) if a transition is warranted",requestFloor(5) throws an exception unless the client passes the current state as a parameter,,3,The context's public method is a thin delegation to whichever state object is currently active.,1
"IdleState, CardInsertedState, and similar ATM state classes hold no instance fields. Following the same reasoning worked out for MediaPlayer, what's the practical implication?",These classes must be marked final and cannot be extended,"A single shared instance of each state class (e.g. one static IdleState object) can safely be reused across every transition and even across multiple separate Atm objects, instead of calling new IdleState() every time a transition happens back to Idle",These classes must be converted into enums to work correctly,Stateless classes cannot implement interfaces in Java,,2,Stateless implementations can be safely shared as single reusable instances instead of being re-created on every transition.,1
"Two completely separate ChessGame objects, game1 and game2, both point their state field at the exact same shared InProgressState instance. Is this safe?","No, two different context objects can never point to the same state object","No, this would merge game1 and game2 into a single game","Only safe if game1 and game2 are running one after another, never at the same time","Yes -- InProgressState holds no data of its own, so calling a method on it always just acts on whichever context object was passed in as a parameter; the shared state object itself never remembers anything between calls",,4,A stateless state object can be referenced by any number of independent context objects simultaneously without any correctness issue.,1
