questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
What is the Single Responsibility Principle (SRP)?,A class should never be extended,A class should have only one public method,A class should implement only one interface,A class should have only one reason to change,,4,"SRP states a class should have exactly one reason to change, meaning it should be responsible for one cohesive piece of functionality.",1
Which SOLID letter does SRP represent?,D,L,S,O,,3,SRP is the 'S' in SOLID.,1
A class named DBManager has two methods: one that writes/constructs SQL queries and one that runs them against the database. Why does this violate SRP?,It has too many public fields,It uses inheritance incorrectly,It doesn't implement an interface,It has two separate reasons to change: query-construction logic and query-execution/connection logic,,4,"Query syntax changing and database execution/connection mechanics changing are two independent reasons to modify the class, which is exactly what SRP warns against combining.",1
What is the SRP-compliant fix for the DBManager example above?,Add more methods to DBManager to handle every case,Make all methods in DBManager private,Split it into DBQueryManager (builds queries) and DBQueryRunner (executes queries),Merge DBManager with the class that calls it,,3,Separating query construction from query execution gives each resulting class exactly one reason to change.,1
"After splitting into DBQueryManager and DBQueryRunner, if the SQL dialect/query syntax changes, which class should you modify?",Only DBQueryRunner,Both classes equally,"Neither, since SRP prevents any changes",Only DBQueryManager,,4,"DBQueryManager owns query construction, so syntax changes are isolated there; DBQueryRunner (execution) remains untouched.",1
"If instead the JDBC driver/connection execution mechanism changes, which class should you modify?",Only DBQueryManager,"Neither class, modify the calling code instead",Both classes equally,Only DBQueryRunner,,4,"DBQueryRunner owns execution details, so connection/driver changes are isolated there without touching query-building logic.",1
What is the main benefit of this DBQueryManager/DBQueryRunner separation for testing?,Tests automatically run faster with no code changes,You no longer need to write any tests,You can unit test query construction without needing a real database connection,It removes the need for a database entirely,,3,"Because query building is isolated in DBQueryManager, its logic can be tested without spinning up an actual database dependency.",1
Does SRP mean a class must contain only a single method?,"Yes, exactly one method per class always","No, SRP has nothing to do with methods at all","No, it means one reason to change; a class can have multiple methods if they all serve one cohesive responsibility","Yes, but only for abstract classes",,3,"SRP is about a single reason to change, not raw method count — several tightly related methods serving one purpose is still SRP-compliant.",1
A Report class both calculates report data and formats/prints it to PDF. What SRP violation does this show?,Two responsibilities (calculation logic and presentation/formatting logic) bundled into one class,A Liskov Substitution violation,"No violation, since both relate to 'reports'",An Open/Closed violation only,,1,"Calculating data and formatting/printing it are different reasons to change (business logic vs. presentation), so bundling them violates SRP.",1
What's the SRP-compliant fix for the Report example?,Make the calculate method private,Merge the class into the main() method,Split into ReportCalculator and ReportPrinter (or ReportFormatter),Add a boolean flag to switch between calculating and printing,,3,"Separating calculation from presentation isolates each responsibility into its own class, each with a single reason to change.",1
How does SRP relate to the concept of 'cohesion' in a class?,Cohesion and SRP are unrelated concepts,SRP decreases cohesion by adding more methods,"SRP only concerns coupling, never cohesion",SRP increases cohesion — a class's methods and fields all serve one focused purpose,,4,A class following SRP tends to be highly cohesive: everything inside it exists to serve its single responsibility.,1
How does SRP relate to the concept of 'coupling' between classes?,SRP has no relationship with coupling,"SRP eliminates coupling entirely, everywhere",SRP always increases coupling between classes,"SRP reduces coupling, since unrelated concerns live in separate classes instead of being tangled together",,4,"By separating unrelated responsibilities, SRP naturally reduces the ways in which unrelated logic depends on or affects each other.",1
What real-world team benefit does SRP provide on a growing codebase?,It guarantees zero bugs in the codebase,It forces exactly one developer to ever touch the codebase,"Different developers or teams can own and modify separate, focused classes with less risk of stepping on each other's changes",It eliminates the need for version control,,3,"Smaller, focused classes reduce merge conflicts and let teams work on different responsibilities (e.g., DB layer vs. business logic) independently.",1
What is a 'God class' (or God object) and how does it relate to SRP?,A synonym for an abstract class,A class that only contains static methods,A class that can never be instantiated,"A class that has taken on far too many unrelated responsibilities, the classic anti-pattern SRP is meant to prevent",,4,"A God class accumulates many unrelated responsibilities over time, becoming hard to understand, test, and safely modify — exactly what SRP guards against.",1
Which of these is a common 'smell' suggesting an SRP violation?,A class name and method list that keep growing to include unrelated behaviors over time,"A class with a single, well-named public method",A class with private fields and public getters,A class that implements one small interface,,1,Classes that keep absorbing unrelated behavior (and often get vague names like 'Manager' or 'Helper') are a classic sign of accumulating multiple responsibilities.,1
