questionText,option1,option2,option3,option4,option5,correctOptions,correctOptionExplanation,points
"Without any factory, client code does this directly inside main():

if (choice == 1) {
    return new Circle();
} else if (choice == 2) {
    return new Square();
}

What's the core problem this creates as more shapes get added?",The client class keeps growing and must be edited every time a new shape is added — object-creation logic is scattered wherever objects are needed,"Circle and Square would need to implement the same interface, which Java doesn't allow",It would cause a compile-time ambiguous-method error,The new keyword can only be called a limited number of times per class,,1,Scattering `new` calls across the codebase means every new type requires hunting down every call site — centralizing this is the first motivation for a factory.,2
"A Simple Factory centralizes creation like this:

class ShapeFactory {
    Shape getShape(int choice) {
        if (choice == 1) {
            return new Circle();
        } else if (choice == 2) {
            return new Square();
        } else {
            return new Rectangle();
        }
    }
}

What does this actually fix, and what does it NOT fix?",It eliminates the new keyword from the codebase entirely,"It centralizes creation logic in one place (fixes scattering), but still has an if-else chain that must be edited for every new shape (doesn't fix OCP)",It fixes OCP completely — no class ever needs editing again to add a new shape,It removes the need for Circle/Square/Rectangle to implement a common interface,,2,Centralization and OCP-compliance are two separate wins — Simple Factory only gives you the first one.,2
"The course notes explicitly state Simple Factory ""is not really a design pattern"" and ""breaks OCP."" Why does it break OCP specifically?",It doesn't actually break OCP — the notes are describing Factory Method instead,It breaks OCP because choice is passed as an int instead of an enum,"Every time a new shape type is added, ShapeFactory.getShape()'s existing if-else body must be modified — the class is not closed for modification","It breaks OCP because Shape must be an interface, not a class",,3,OCP requires being open for extension but closed for modification; every new shape forces you to reopen and edit getShape()'s body.,1
"To reduce (not eliminate) the if-else problem, the notes sketch a hashmap-based version:

Map<Integer, Shape> map = new HashMap<>();
map.put(1, obj1);
map.put(2, obj2);
map.put(3, obj3);

Shape getObj(int choice) {
    return map.get(choice);
}

What specific improvement does this give over the if-else version, and what limitation remains?",It removes the need for a choice parameter entirely,It completely solves OCP with zero remaining limitations,It makes Shape unnecessary since the map handles typing,"getObj() itself never needs editing again (no more if-else branches to add) — but the map still has to be populated with a new entry per type somewhere, and it's now hardcoded to a fixed, non-changing set decided upfront",,4,"The branching moves from inside getObj() to the map's population step — an improvement, but a new type still requires editing the setup code somewhere.",1
"In the hashmap version, map.get(choice) returns the SAME pre-constructed object instance every time getObj(1) is called. What behavior does this cause that a fresh new Circle() per call wouldn't?",Every caller of getObj(1) receives a reference to one shared Circle instance — mutating it in one place would be visible everywhere it's used,getObj() becomes unusable after the first call since the map entry is consumed,"It automatically creates a new Circle each time under the hood, identical to new Circle()",It throws a ConcurrentModificationException on the second call,,1,"HashMap.get() just returns the stored reference — it doesn't construct anything new, so shared mutable state becomes a real risk.",2
"Given the hashmap-based factory returns shared pre-built instances, in what kind of real scenario would this actually be the RIGHT choice rather than a limitation?",Only in single-threaded programs,When the objects being returned are stateless or meant to be shared/reused (similar to why PlayState/PauseState/StopState in class-20 were made Singletons) — no per-use uniqueness is needed,Never — sharing instances is always a bug regardless of context,Only when choice is a String instead of an int,,2,This connects directly back to class-20's insight: stateless objects are safe (and often preferable) to share as single instances.,1
"If you wanted the hashmap factory to return a brand-new object each time instead of a shared one, what would you have to change?","Change Map<Integer, Shape> to Map<Integer, Integer>",Mark the map as volatile,"Store a way to construct new instances (e.g. a Supplier<Shape> or constructor reference per key) instead of storing already-built objects, and call it fresh inside getObj()",Nothing — HashMap.get() already constructs a new object automatically for non-primitive types,,3,"You'd need the map to hold factories/suppliers of shapes rather than the shapes themselves, so each get() triggers fresh construction.",1
"A teammate says: ""Simple Factory is basically the same thing as Factory Method, just written differently."" Based on how the course structures these as separate concepts, what's the actual structural difference?",They are functionally and structurally identical — the distinction is purely academic,"Simple Factory always returns interfaces, Factory Method always returns abstract classes",Factory Method is Simple Factory with multithreading added,"Simple Factory is one class with an if-else/map branching internally on a passed-in choice; Factory Method has no branching at all — each subclass overrides an abstract creation method to return its own fixed type, with the choice of subclass made by which class you instantiate",,4,Simple Factory branches at runtime inside one method; Factory Method resolves the branch at compile time via subclass selection — a fundamentally different mechanism.,3
"If your app has 3 shape types today and you're confident that number will grow every few weeks as new shape types are added, why might the notes' framing suggest moving away from Simple Factory (map or if-else based) toward Factory Method or Abstract Factory instead?","Both if-else and hashmap Simple Factory require editing the factory's own source (new branch, or new map entry) for every new type, while Factory Method lets you add a new type by writing an entirely new subclass without touching existing factory code at all",Factory Method requires fewer total classes than Simple Factory in every case,"Simple Factory is objectively faster at runtime, so this tradeoff doesn't matter","Simple Factory cannot return interface types, only concrete classes",,1,"Frequent growth is exactly the scenario where OCP violations (constant edits to existing code) become a real maintenance cost, motivating the move to Factory Method.",3
"Given Map<Integer, Shape> map populated with 1 -> obj1, 2 -> obj2, 3 -> obj3 and getObj(choice) { return map.get(choice); }, what happens if getObj(4) is called and no entry exists for key 4?",It automatically falls back to obj1,"It returns null — HashMap.get() on a missing key returns null rather than throwing, so the caller must handle a possible null result",It throws a NoSuchElementException,It throws a compile-time error since 4 wasn't declared as a valid choice,,2,"HashMap.get() never throws for a missing key — it silently returns null, a common source of downstream NullPointerExceptions if not checked.",1
